,Title,User Rating,Metacritic,Number of Votes,Running Time,Release Date,Director
501,Happy Happy Joy Joy: The Ren & Stimpy Story,7.0,N/A,282,1h 44min,14 August 2020 (USA),Ron Cicero
502,Marley,8.0,82,"13,046",2h 24min,20 April 2012 (UK),Kevin Macdonald
503,Kingdom of the Mummies,6.8,N/A,31,N/A,TV Mini-Series (2020– ),Ramadan Hussein
504,The Beatles: Eight Days a Week - The Touring Years,7.8,72,"11,053",1h 46min,17 September 2016 (USA),Ron Howard
505,The Endless Summer,7.7,N/A,"5,045",1h 35min,18 February 1965 (Australia),Bruce Brown
506,Mucho Mucho Amor: The Legend of Walter Mercado,7.3,76,"2,456",1h 36min,8 July 2020 (USA),Cristina Costantini
507,Religulous,7.6,N/A,"57,066",1h 41min,3 October 2008 (USA),Larry Charles
508,One of Us,7.1,78,"5,530",1h 35min,20 October 2017 (USA),Heidi Ewing
509,Disgraced,7.4,N/A,467,1h 42min,10 March 2017 (USA),Pat Kondelis
510,Audrie & Daisy,7.2,73,"5,613",1h 35min,23 September 2016 (USA),Bonni Cohen
511,"Goodnight, Sugar Babe: The Killing of Vera Jo Reigle",6.2,N/A,558,1h 27min,2013 (USA),J. David Miles
512,Totally Under Control,N/A,N/A,N/A,N/A,October 2020 (USA),Alex Gibney
513,The Fandom,6.5,N/A,69,1h 29min,3 July 2020 (USA),Ash Kreis
514,Forks Over Knives,7.7,N/A,"11,545",1h 30min,16 October 2013 (France),Lee Fulkerson
515,The History of Time Travel,6.9,N/A,682,1h 12min,25 October 2014 (USA),Ricky Kennedy
516,Thrive: What on Earth Will It Take?,6.8,N/A,"2,690",2h 12min,11 November 2011 (USA),Steve Gagné
517,Axios,6.0,N/A,197,30min,TV Series (2018– ),Mike Allen
518,Liberated: The New Sexual Revolution,6.0,N/A,"1,288",1h 24min,April 2017 (USA),Benjamin Nolot
519,"Bill Nye, the Science Guy",8.2,N/A,"6,598",30min,TV Series (1993–1998),Bill Nye
520,Bombshell: The Hedy Lamarr Story,7.4,70,"3,225",1h 28min,8 March 2018 (Ireland),Alexandra Dean
521,"Bikram: Yogi, Guru, Predator",6.7,68,"5,020",1h 26min,20 November 2019 (USA),Eva Orner
522,Cold Justice,8.0,N/A,"1,367",1h,TV Series (2013– ),Kelly Siegler
523,Dogtown and Z-Boys,7.7,76,"12,133",1h 31min,10 May 2002 (USA),Stacy Peralta
524,The Death of Superman Lives: What Happened?,7.1,N/A,"4,181",1h 44min,9 July 2015 (USA),Jon Schnepp
525,WWII in HD,8.7,N/A,"1,945",1h,TV Mini-Series (2009– ),Gary Sinise
526,Monterey Pop,8.0,77,"3,740",1h 18min,23 April 1969 (France),D.A. Pennebaker
527,Superhuman: The Invisible Made Visible,6.2,N/A,25,1h 55min,14 July 2020 (USA),Caroline Cory
528,Stars in the Sky: A Hunting Story,7.1,N/A,139,1h 15min,7 August 2020 (Poland),Steven Rinella
529,Spielberg,7.7,N/A,"5,870",2h 27min,TV Movie 7 October 2017,Susan Lacy
530,Wrinkles the Clown,4.8,N/A,950,1h 18min,4 October 2019 (USA),Michael Beach Nichols
531,The Trade,7.2,N/A,320,1h,TV Mini-Series (2018– ),N/A
532,Generation Wealth,6.6,N/A,"3,634",1h 45min,20 July 2018 (USA),Lauren Greenfield
533,American Pimp,6.7,N/A,"2,132",1h 27min,January 1999 (USA),Albert Hughes
534,Ralphthemoviemaker,8.9,N/A,"1,702",N/A,TV Series (2013–2020),Ralph Sepe
535,Encounters at the End of the World,7.7,80,"16,936",1h 39min,18 July 2008 (USA),Werner Herzog
536,The Gettysburg Address,N/A,N/A,N/A,N/A,N/A,Sean Conant
537,Most Likely to Succeed,7.0,N/A,111,1h 37min,6 December 2019 (USA),Pamela Littky
538,The Putin Interviews,7.6,N/A,"3,746",58min,TV Series (2017),Oliver Stone
539,Becoming,N/A,N/A,N/A,N/A,TV Series,IMDbPro
540,Powaqqatsi,7.3,N/A,"7,677",1h 39min,8 September 1988 (Netherlands),Godfrey Reggio
541,Linda Ronstadt: The Sound of My Voice,8.0,77,"1,393",1h 35min,6 September 2019 (USA),Rob Epstein
542,Celebrity Ghost Stories,7.1,N/A,797,43min,TV Series (2008– ),A. Jones
543,Gimme Danger,7.2,72,"4,877",1h 48min,5 August 2016 (Norway),Jim Jarmusch
544,Travis: The True Story of Travis Walton,7.1,N/A,268,1h 30min,17 February 2015 (USA),Jennifer Stein
545,Playboy: Playmates Bustin' Out,7.2,N/A,59,57min,Video 14 November 2000,Scott Allen
546,Jay Leno's Garage,7.4,N/A,417,1h,TV Series (2015– ),Jay Leno
547,Untold Stories of the ER,7.5,N/A,596,1h,TV Series (2004– ),Armando Valdes-Kennedy
548,Story of Science Fiction,8.1,N/A,983,1h,TV Mini-Series (2018),James Cameron
549,Babies,6.9,N/A,536,N/A,TV Series (2020– ),Pascal Wallisch
550,Gaga: Five Foot Two,7.0,63,"11,272",1h 40min,22 September 2017 (USA),Chris Moukarbel
551,Hopper/Welles,8.5,71,44,2h 10min,18 September 2020 (USA),Orson Welles
552,Burden of Dreams,7.9,N/A,"6,305",1h 35min,24 September 1982 (Sweden),Les Blank
553,Vice,8.9,N/A,"4,073",30min,TV Series (2013– ),Shane Smith
554,Winter on Fire: Ukraine's Fight for Freedom,8.4,79,"12,391",1h 42min,9 October 2015 (USA),Evgeny Afineevsky
555,Mission Control: The Unsung Heroes of Apollo,7.6,71,"1,232",1h 41min,14 March 2017 (USA),David Fairhead
556,The Sit-In: Harry Belafonte hosts the Tonight Show,7.3,70,52,1h 15min,10 September 2020 (USA),Yoruba Richen
557,Kingdom of Silence,N/A,N/A,N/A,N/A,TV Movie 2 October 2020,Rick Rowley
558,Holy Hell,7.0,64,"5,040",1h 40min,27 May 2016 (USA),Will Allen
559,I Am Human,6.5,N/A,136,1h 30min,3 March 2020 (USA),Elena Gaby
560,A Cam Life,4.8,N/A,90,1h 17min,21 December 2018 (USA),Nia Redfield
561,Justin Bieber: Never Say Never,1.6,N/A,"75,070",1h 45min,11 February 2011 (USA),Jon M. Chu
562,Thank You and Good Night,8.1,N/A,50,1h 23min,29 January 1992 (USA),Jan Oxenberg
563,The Movies That Made Us,7.8,N/A,"2,399",1h,TV Series (2019– ),Brian Volk-Weiss
564,The King of Kong: A Fistful of Quarters,8.1,83,"34,448",1h 19min,28 February 2008 (Australia),Seth Gordon
565,Dynasties,9.2,N/A,"3,593",1h,TV Mini-Series (2018– ),David Attenborough
566,Pina,7.7,83,"14,319",1h 43min,24 February 2011 (Germany),Wim Wenders
567,The Nightmare,5.8,68,"6,377",1h 31min,5 June 2015 (USA),Rodney Ascher
568,Penn & Teller: Bullshit!,8.1,N/A,"11,392",30min,TV Series (2003–2010),Randall Moldave
569,Surviving R. Kelly,7.6,N/A,"3,694",5h 6min,TV Mini-Series (2019),Tarana Burke
570,Meeting Gorbachev,7.2,73,"1,517",1h 30min,3 May 2019 (USA),Werner Herzog
571,Atlanta's Missing and Murdered: The Lost Children,7.1,N/A,660,N/A,TV Mini-Series (2020),Tony Axam
572,Cocaine Cowboys,7.8,N/A,"12,274",1h 58min,23 November 2007 (UK),Billy Corben
573,Good Eats,8.9,N/A,"3,309",30min,TV Series (1999–2012),Alton Brown
574,Aliens of the Deep,6.4,71,"2,722",1h 40min,25 August 2005 (Germany),James Cameron
575,Jimi Hendrix,7.8,N/A,"1,500",1h 38min,16 August 1973 (Netherlands),Joe Boyd
576,Matrix,8.4,N/A,10,N/A,28 January 2020 (USA),Kim Harrington
577,Joker: Put on A Happy Face,N/A,N/A,N/A,N/A,2020 (USA),Yuri Ramondelli
578,1,8.0,N/A,"3,788",1h 52min,1 October 2013 (USA),Paul Crowder
579,Cropsey,6.3,73,"7,573",1h 24min,25 April 2009 (USA),Barbara Brancaccio
580,Shirkers,7.4,88,"4,178",1h 37min,26 October 2018 (USA),Sandi Tan
581,Hoaxed,7.4,N/A,"1,070",2h 5min,24 January 2019 (USA),Scooter Downey
582,Homecoming: A Film by Beyoncé,7.4,N/A,"5,921",2h 17min,17 April 2019 (USA),Beyoncé
583,E! True Hollywood Story,6.6,N/A,804,N/A,TV Series (1996– ),Phil Crowley
584,The Killing Season,7.6,N/A,915,43min,TV Series (2016– ),Rachel Mills
585,What's My Name: Muhammad Ali,8.4,N/A,"1,477",2h 45min,15 May 2019 (Hungary),Antoine Fuqua
586,Square One,8.1,N/A,"1,267",1h 23min,5 October 2019 (USA),Danny Wu
587,The Black Godfather,7.4,69,942,1h 58min,7 June 2019 (USA),Reginald Hudlin
588,Sea of Shadows,7.1,72,471,1h 45min,12 July 2019 (USA),Richard Ladkani
589,Slutever,5.6,N/A,398,22min,TV Series (2018–2019),Karley Sciortino
590,I Think We're Alone Now,6.8,N/A,"1,379",1h 10min,20 January 2008 (USA),Sean Donnelly
591,Shine a Light,7.2,76,"10,990",2h 2min,4 April 2008 (Austria),Martin Scorsese
592,Murder Comes to Town,7.3,N/A,390,N/A,TV Series (2014– ),Joe Alaskey
593,Created Equal: Clarence Thomas in His Own Words,7.9,N/A,188,1h 56min,31 January 2020 (USA),Michael Pack
594,The Real Miyagi,7.1,N/A,718,1h 20min,22 February 2015 (USA),Kevin Derek
595,Ravi Patel's Pursuit of Happiness,8.4,N/A,58,42min,TV Series (2020– ),Champa V. Patel
596,Pure Nude Yoga: Zen Garden Goddess,6.0,N/A,24,56min,September 2011 (USA),Dane Van Rose
597,Murder Mountain,6.9,N/A,"2,216",43min,TV Mini-Series (2018),Billy Honsal
598,Murder in the Bayou,7.1,N/A,476,4h 32min,TV Mini-Series (2019),Scott Lewis
599,Classic Albums,8.5,N/A,183,N/A,TV Series (1997– ),Nick de Grunwald
600,Into the Abyss,7.3,74,"15,640",1h 47min,30 March 2012 (UK),Werner Herzog
601,A Chef's Voyage,7.3,N/A,104,1h 30min,3 April 2020 (USA),Rémi Anfosso
602,Looking for Richard,7.3,N/A,"7,810",1h 51min,11 October 1996 (USA),Al Pacino
603,Team Foxcatcher,7.3,N/A,"4,930",1h 30min,29 April 2016 (USA),Jon Greenhalgh
604,Taxi to the Dark Side,7.4,82,"14,726",1h 46min,23 January 2009 (Brazil),Alex Gibney
605,Fastest Car,7.1,N/A,"1,063",45min,TV Series (2018– ),Scott Weintrob
606,Kedi,7.7,78,"12,718",1h 19min,10 February 2017 (USA),Ceyda Torun
607,Hitsville: The Making of Motown,7.9,N/A,859,1h 52min,24 August 2019 (USA),Benjamin Turner
608,The Barkley Marathons: The Race That Eats Its Young,7.8,67,"4,489",1h 29min,1 October 2016 (Netherlands),Annika Iltis
609,Dancer,7.9,65,"2,595",1h 25min,10 March 2017 (UK),Steven Cantor
610,Some Kind of Heaven,7.8,N/A,51,1h 21min,26 January 2020 (USA),Lance Oppenheim
611,The True Cost,7.7,N/A,"6,498",1h 32min,29 May 2015 (USA),Andrew Morgan
612,Undefeated,7.7,71,"6,708",1h 53min,3 August 2012 (UK),Daniel Lindsay
613,The Reason I Jump,8.6,N/A,52,1h 22min,18 November 2020 (France),Jerry Rothwell
614,Nail in the Coffin: The Fall and Rise of Vampiro,8.1,N/A,23,1h 28min,8 September 2020 (USA),Michael Paszt
615,Tony Robbins: I Am Not Your Guru,6.7,N/A,"3,750",1h 55min,15 July 2016 (USA),Joe Berlinger
616,Mein liebster Feind - Klaus Kinski,7.9,70,"10,204",1h 35min,7 October 1999 (Germany),Werner Herzog
617,Deliver Us from Evil,7.9,86,"9,751",1h 41min,22 February 2007 (Netherlands),Amy Berg
618,Memory: The Origins of Alien,6.7,70,"1,973",1h 35min,4 October 2019 (USA),Alexandre O. Philippe
619,Casting JonBenet,6.1,74,"4,747",1h 20min,28 April 2017 (USA),Kitty Green
620,Sex,7.3,N/A,237,1h,Video 15 November 1992,Fabien Baron
621,De Palma,7.4,83,"4,795",1h 50min,23 September 2016 (UK),Noah Baumbach
622,Dont Look Back,8.0,84,"8,280",1h 36min,24 February 1968 (Sweden),D.A. Pennebaker
623,The Internet's Own Boy: The Story of Aaron Swartz,8.0,72,"15,413",1h 45min,27 June 2014 (USA),Brian Knappenberger
624,Dope Sick Love,7.5,N/A,745,1h 33min,TV Movie 10 March 2005,Felice Conte
625,Madonna: Truth or Dare,6.4,N/A,"8,624",2h,24 May 1991 (USA),Alek Keshishian
626,Breaking the Band,6.3,N/A,35,1h,TV Series (2018– ),Swaylee Loughnane
627,Life Itself,7.8,87,"14,710",2h 1min,4 July 2014 (USA),Steve James
628,America's Test Kitchen,8.4,N/A,366,30min,TV Series (2000– ),Christopher Kimball
629,"Scream, Queen! My Nightmare on Elm Street",7.4,64,883,1h 39min,5 April 2019 (USA),Roman Chimienti
630,"Public Sex, Private Lives",5.6,N/A,152,1h 11min,8 June 2013 (USA),Simone Jude
631,Real Sex,6.7,N/A,322,N/A,TV Series (1990–2009),Susan Block
632,No Man's Land,7.3,N/A,82,1h 21min,12 October 2018 (Austria),David Byars
633,Downloaded,6.9,N/A,"2,655",1h 46min,1 July 2013 (USA),Alex Winter
634,Bears,7.4,68,"6,404",1h 18min,18 April 2014 (USA),Alastair Fothergill
635,Studio 54,7.0,70,"2,187",1h 38min,5 October 2018 (USA),Matt Tyrnauer
636,Making Waves: The Art of Cinematic Sound,7.6,80,"1,013",1h 34min,25 October 2019 (USA),Midge Costin
637,Forensic Files II,7.7,N/A,164,N/A,TV Series (2020– ),Paul Dowling
638,Pick of the Litter,7.6,64,"1,130",1h 20min,31 August 2018 (USA),Don Hardy
639,Killer Kids,6.9,N/A,524,N/A,TV Series (2011– ),Misty Lee
640,The September Issue,7.1,69,"7,357",1h 30min,25 September 2009 (USA),R.J. Cutler
641,This Is Football,8.3,N/A,455,1h,TV Series (2019– ),Lionel Messi
642,Big Time,8.2,N/A,724,1h 27min,20 October 1988 (Netherlands),Chris Blum
643,Mike Judge Presents: Tales from the Tour Bus,8.5,N/A,967,30min,TV Series (2017– ),Richard Mullins
644,The Great Buster,7.5,71,"1,026",1h 42min,5 October 2018 (USA),Peter Bogdanovich
645,Sign 'o' the Times,8.1,72,"1,766",1h 25min,20 November 1987 (USA),Prince
646,American Swing,6.1,N/A,575,1h 21min,17 October 2009 (Japan),Jon Hart
647,AlphaGo,7.9,N/A,"4,697",1h 30min,29 September 2017 (USA),Greg Kohs
648,America's Most Wanted: America Fights Back,7.3,N/A,"1,772",1h,TV Series (1988–2013),John Walsh
649,Valley Uprising,8.1,N/A,"4,946",1h 43min,1 September 2014 (USA),Peter Mortimer
650,Contact,5.7,N/A,201,N/A,TV Series (2019– ),Nicholas Karnaze
651,The Decline of Western Civilization Part II: The Metal Years,7.2,N/A,"3,356",1h 33min,24 August 1989 (Australia),Penelope Spheeris
652,Long Shot,7.4,N/A,"5,019",40min,TV Short 29 September 2017,Jacob LaMendola
653,Street Food,8.0,N/A,"2,021",30min,TV Series (2019– ),David Gelb
654,Until the Light Takes Us,7.1,N/A,"5,542",1h 33min,12 August 2010 (Germany),Aaron Aites
655,Finding Bigfoot,4.2,N/A,"1,691",45min,TV Series (2011– ),Cliff Barackman
656,Bleeding Blue,7.2,N/A,25,1h 40min,7 September 2018 (USA),Kenny Latimer
657,"What Happened, Miss Simone?",7.6,75,"11,910",1h 41min,24 June 2015 (USA),Liz Garbus
658,Home,7.3,N/A,270,30min,TV Series (2020– ),N/A
659,American Dharma,7.0,62,557,1h 35min,1 November 2019 (USA),Errol Morris
660,The Hornet's Nest,6.7,61,"2,284",1h 33min,9 May 2014 (USA),David Salzberg
661,1275 Days,5.4,N/A,24,1h 20min,13 October 2019 (USA),Katie Green
662,Coded Bias,7.5,N/A,51,1h 30min,30 January 2020 (USA),Shalini Kantayya
663,Savage Kingdom,8.5,N/A,288,1h,TV Series (2016–2019),Charles Dance
664,Requiem for the American Dream,8.1,N/A,"8,474",1h 13min,20 October 2016 (Denmark),Peter D. Hutchison
665,Lo and Behold: Reveries of the Connected World,7.0,76,"11,744",1h 38min,19 August 2016 (USA),Werner Herzog
666,Becoming Warren Buffett,7.6,N/A,"3,244",1h 30min,30 January 2017 (USA),Peter W. Kunhardt
667,Drug Lords,6.9,N/A,979,42min,TV Series (2018– ),Quinn Dalton
668,Beyond the Mat,7.6,73,"8,090",1h 42min,17 March 2000 (USA),Barry W. Blaustein
669,Lesbian Sex and Sexuality,4.7,N/A,131,N/A,TV Mini-Series (2007– ),Peter Born
670,No One Saw a Thing,6.3,N/A,360,4h 18min,TV Mini-Series (2019),Steve Booher
671,RUTH - Justice Ginsburg in her own Words,N/A,N/A,N/A,1h 30min,2021 (USA),Freida Lee Mock
672,TIME: The Kalief Browder Story,8.5,N/A,"2,146",N/A,TV Mini-Series (2017– ),Jenner Furst
673,The Square,8.1,84,"8,508",1h 35min,10 January 2014 (UK),Jehane Noujaim
674,Whitney,7.3,75,"6,438",2h,5 July 2018 (UK),Kevin Macdonald
675,Unnatural Selection,8.0,N/A,"1,214",1h 6min,TV Series (2019– ),David Ishee
676,My Voyage to Italy,8.2,90,"2,992",4h 6min,16 May 2002 (France),Martin Scorsese
677,Howard,7.7,76,533,1h 34min,14 December 2018 (USA),Don Hahn
678,Country Music,8.9,N/A,984,N/A,TV Mini-Series (2019),Peter Coyote
679,Shot in the Dark,8.0,N/A,"1,475",37min,TV Series (2017– ),Zak Holman
680,Stop at Nothing: The Lance Armstrong Story,7.5,N/A,"2,765",1h 44min,27 May 2014 (Sweden),Alex Holmes
681,Unseen,6.9,N/A,619,1h 15min,April 2016 (USA),Laura Paglin
682,Anbessa,6.3,N/A,105,1h 25min,9 May 2019 (USA),Mo Scarpelli
683,Elephant,7.2,61,"1,693",1h 26min,3 April 2020 (USA),Mark Linfield
684,What Now?,5.9,N/A,"8,812",1h 36min,14 October 2016 (USA),Leslie Small
685,The Murder of Laci Peterson,7.4,N/A,626,5h 3min,TV Series (2017),Gloria Gomez
686,The Armstrong Lie,7.3,67,"7,182",2h 4min,14 November 2013 (Portugal),Alex Gibney
687,It Might Get Loud,7.6,70,"12,256",1h 38min,27 August 2009 (Germany),Davis Guggenheim
688,American Gospel: Christ Crucified,9.1,N/A,116,2h 56min,14 December 2019 (USA),Brandon Kimber
689,Hellstorm,6.9,N/A,"2,540",1h 30min,1 May 2015 (USA),Kyle Hunt
690,Addicted to Sexting,3.9,N/A,781,1h 20min,17 November 2015 (USA),Joseph Tosconi
691,Racing Extinction,8.3,81,"7,410",1h 30min,18 September 2015 (USA),Louie Psihoyos
692,Get Me Roger Stone,7.4,75,"6,426",1h 32min,12 May 2017 (USA),Dylan Bank
693,How to Fix a Drug Scandal,6.9,N/A,"1,891",3h 31min,TV Mini-Series (2020),Scott Allen
694,Metallica: Some Kind of Monster,7.5,74,"17,196",1h 24min,September 2004 (USA),Joe Berlinger
695,The Boy from Medellín,7.0,N/A,15,1h 30min,20 August 2020 (USA),Matthew Heineman
696,Ask a Porn Star,6.3,N/A,98,N/A,TV Series (2015– ),April O'Neil
697,Shark Week,8.0,N/A,255,43min,TV Series (1987– ),Jeff Kurr
698,Mind Field,8.8,N/A,"2,186",26min,TV Series (2017– ),Michael Stevens
699,Italianamerican,7.5,N/A,"2,158",49min,October 1974 (USA),Martin Scorsese
700,What We Left Behind: Star Trek DS9,8.4,N/A,"1,183",1h 56min,13 May 2019 (USA),Ira Steven Behr
701,Wilde Salomé,6.5,65,840,1h 30min,April 2017 (USA),Al Pacino
702,IMDb Supercuts,5.8,N/A,104,N/A,TV Series (2018– ),N/A
703,The Clinton Affair,8.1,N/A,711,5h 1min,TV Series (2018),Monica Lewinsky
704,Where's My Roy Cohn?,6.6,70,743,1h 37min,5 December 2019 (Australia),Matt Tyrnauer
705,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,7.5,N/A,"3,349",1h 37min,6 November 2015 (Spain),David Gregory
706,Adolf Hitler: The Greatest Story Never Told,7.5,N/A,"5,169",5h 50min,27 January 2013 (USA),Dennis Wise
707,Climate Hustle 2,N/A,N/A,N/A,1h 55min,27 September 2020 (USA),Christopher Rogers
708,Eddie Murphy: Raw,7.7,N/A,"18,106",1h 33min,18 December 1987 (USA),Robert Townsend
709,Inside Edition,3.9,N/A,424,30min,TV Series (1988– ),Deborah Norville
710,America: The Story of Us,7.4,N/A,"1,463",N/A,TV Mini-Series (2010),Daniel Webb
711,SOMM,7.0,N/A,"4,340",1h 34min,21 June 2013 (Canada),Jason Wise
712,Dream/Killer,7.4,N/A,"1,222",1h 46min,4 May 2015 (USA),Andrew Jenks
713,The Disrupted,8.6,N/A,5,1h 28min,15 May 2020 (USA),Sarah Colt
714,Fed Up,7.7,71,"11,379",1h 32min,19 January 2014 (USA),Stephanie Soechtig
715,The Donut King,7.4,N/A,7,1h 30min,24 August 2020 (USA),Alice Gu
716,My Darling Vivian,7.7,78,238,1h 30min,27 April 2020 (USA),Matt Riddlehoover
717,Marwencol,7.6,82,"3,379",1h 23min,8 October 2010 (USA),Jeff Malmberg
718,City of Ghosts,7.4,86,"3,421",1h 32min,21 July 2017 (UK),Matthew Heineman
719,2016: Obama's America,5.0,N/A,"10,313",1h 27min,24 August 2012 (USA),Dinesh D'Souza
720,Life After People,7.6,N/A,"1,224",N/A,TV Series (2009– ),James Lurie
721,Paradise Lost 3: Purgatory,8.1,85,"9,122",2h 1min,13 October 2012 (Brazil),Joe Berlinger
722,Mata Hari: The Naked Spy,6.3,N/A,16,1h 18min,15 October 2017 (USA),Machiel Amorison
723,Vaxxed: From Cover-Up to Catastrophe,5.2,N/A,"4,370",1h 31min,6 April 2017 (Germany),Andrew Wakefield
724,Janis: Little Girl Blue,7.4,74,"4,907",1h 43min,15 December 2015 (USA),Amy Berg
725,Imagine: John Lennon,7.9,N/A,"4,540",1h 40min,7 October 1988 (USA),Andrew Solt
726,American Boy: A Profile of - Steven Prince,7.3,N/A,"1,090",55min,October 1978 (USA),Martin Scorsese
727,Mission Blue,8.0,77,"1,550",1h 35min,15 August 2014 (USA),Robert Nixon
728,Cuba and the Cameraman,8.3,82,"2,788",1h 53min,24 November 2017 (USA),Jon Alpert
729,Freedom: A History of US,5.6,N/A,355,N/A,TV Series (2003– ),Katie Couric
730,Neat: The Story of Bourbon,7.5,N/A,358,1h 15min,20 February 2018 (USA),David Altrogge
731,Lorena,7.2,N/A,"1,475",4h 14min,TV Mini-Series (2019),Lorena Bobbitt
732,Lake of Fire,8.2,83,"2,447",2h 32min,3 October 2007 (USA),Tony Kaye
733,Lost in La Mancha,7.3,74,"11,121",1h 29min,2 August 2002 (UK),Keith Fulton
734,"Love, Antosha",8.1,78,881,1h 32min,2 August 2019 (USA),Garret Price
735,Hamilton's Pharmacopeia,8.8,N/A,735,1h,TV Series (2009– ),Hamilton Morris
736,Michael Moore in TrumpLand,5.6,N/A,"3,719",1h 13min,21 October 2016 (USA),Michael Moore
737,I AM PATRICK,5.6,N/A,152,1h 33min,17 March 2020 (USA),Jarrod Anderson
738,Sense8: Creating the World,8.6,N/A,"1,930",26min,TV Short 1 August 2015,Josh Oreck
739,Divine Madness,7.0,N/A,775,1h 35min,26 September 1980 (USA),Michael Ritchie
740,Finding Vivian Maier,7.7,75,"12,901",1h 23min,17 April 2014 (Italy),John Maloof
741,Never Sleep Again: The Elm Street Legacy,8.6,N/A,"4,095",3h 59min,Video 4 May 2010,Daniel Farrands
742,Magic Trip: Ken Kesey's Search for a Kool Place,6.8,N/A,"1,389",1h 47min,5 August 2011 (USA),Alison Ellwood
743,Nazi Concentration Camps,8.3,N/A,"1,138",59min,22 April 2017 (Australia),George Stevens
744,Iron Cowboy,6.6,N/A,408,1h 16min,26 October 2018 (USA),Jacob Schwarz
745,Home Game,7.1,N/A,543,N/A,TV Series (2020– ),Mark Strong
746,Nightmare Next Door,7.1,N/A,821,1h,TV Series (2011– ),Greg Diefenbach
747,4 Little Girls,7.8,88,"2,797",1h 42min,9 July 1997 (USA),Spike Lee
748,Challenger Disaster: Lost Tapes,7.6,N/A,98,48min,TV Movie 25 January 2016,Tom Jennings
749,Every Little Step,7.5,76,"1,420",1h 36min,12 June 2009 (USA),Adam Del Deo
750,The Blech Effect,N/A,N/A,N/A,1h 27min,25 August 2020 (USA),David Greenwald
751,The Battered Bastards of Baseball,8.0,75,"3,120",1h 20min,11 July 2014 (Netherlands),Chapman Way
752,The Wrecking Crew!,7.6,67,"2,633",1h 41min,13 March 2015 (USA),Denny Tedesco
753,Symbiopsychotaxiplasm: Take One,7.3,71,"1,553",1h 15min,26 October 2005 (USA),William Greaves
754,The Bit Player,7.5,N/A,146,1h 30min,26 June 2020 (USA),Mark Levinson
755,The Summit,6.9,63,"4,482",1h 35min,22 November 2013 (Ireland),Nick Ryan
756,Making the Witcher,6.8,N/A,122,32min,TV Short 27 August 2020,Nathan Wiley
757,The Curse of Civil War Gold,6.3,N/A,343,42min,TV Series (2018– ),Robert Clotworthy
758,Océans,7.8,75,"8,983",1h 24min,22 April 2010 (USA),Jacques Perrin
759,The Death and Life of Marsha P. Johnson,7.3,76,"2,112",1h 45min,6 October 2017 (USA),David France
760,Jazz on a Summer's Day,8.0,N/A,"1,073",1h 25min,20 April 1960 (France),Bert Stern
761,Operation Toussaint: Operation Underground Railroad and the Fight to End Modern Day Slavery,9.1,N/A,131,1h 22min,Video 10 July 2018,Nick Nanton
762,The Aristocrats,6.4,72,"15,909",1h 29min,2 September 2005 (USA),Penn Jillette
763,Trixie Mattel: Moving Parts,7.3,N/A,"1,228",1h 31min,25 April 2019 (USA),Nicholas Zeig-Owens
764,Unrest,7.7,80,"2,429",1h 38min,22 September 2017 (USA),Jennifer Brea
765,Cunningham,6.4,83,279,1h 33min,13 December 2019 (USA),Alla Kovgan
766,The Golden State Killer: It's Not Over,6.9,N/A,172,42min,TV Series (2018),Paul Holes
767,Ghost Adventures: Quarantine,7.8,N/A,68,42min,TV Mini-Series (2020),Zak Bagans
768,The Seven Five,7.6,69,"5,267",1h 44min,8 May 2015 (USA),Tiller Russell
769,Popular Mechanics for Kids,8.4,N/A,547,N/A,TV Series (1997–2005),Jay Baruchel
770,Long Strange Trip - The Untold Story of The Grateful Dead,8.2,78,"1,321",3h 58min,26 May 2017 (USA),Amir Bar-Lev
771,Dolphin Reef,7.5,79,775,1h 17min,3 April 2020 (USA),Keith Scholey
772,Expecting Amy,6.3,N/A,412,N/A,TV Series (2020– ),Kim Caramele
773,The Problem with Apu,3.5,N/A,"2,047",49min,November 2017 (USA),Michael Melamedoff
774,Marianne & Leonard: Words of Love,6.9,69,"1,238",1h 42min,5 July 2019 (USA),Nick Broomfield
775,Ice on Fire,7.4,N/A,"1,287",1h 28min,23 June 2019 (Sweden),Leila Conners
776,The Bill Murray Stories: Life Lessons Learned from a Mythical Man,7.0,N/A,"1,887",1h 10min,10 March 2018 (USA),Tommy Avallone
777,Christiane Amanpour: Sex & Love Around the World,7.4,N/A,655,N/A,TV Series (2018– ),Christiane Amanpour
778,Resurrection: Prison Break,7.6,N/A,692,22min,TV Short 4 March 2017,Rockmond Dunbar
779,The Scheme,7.0,N/A,572,1h 58min,31 March 2020 (USA),Pat Kondelis
780,Jonestown: Terror in the Jungle,8.1,N/A,774,N/A,TV Mini-Series (2018– ),Vernon Gosney
781,"Electric Boogaloo: The Wild, Untold Story of Cannon Films",7.4,N/A,"5,058",1h 46min,5 June 2015 (UK),Mark Hartley
782,Prop Culture,8.3,N/A,478,N/A,TV Series (2020– ),Jason C. Henry
783,"Drugs, Inc.",7.8,N/A,"1,253",44min,TV Series (2010– ),Mike Secher
784,Gleason,8.4,80,"2,524",1h 50min,29 July 2016 (USA),Clay Tweel
785,Murder to Mercy: The Cyntoia Brown Story,6.3,N/A,"1,579",1h 36min,29 April 2020 (USA),Daniel H. Birman
786,I Am,7.5,N/A,"3,435",1h 18min,February 2011 (USA),Tom Shadyac
