,Title,User Rating,Metacritic,Number of Votes,Running Time,Release Date,Director
25,Unsolved Mysteries,7.4,N/A,"5,319",45min,TV Series (2020– ),Pistol Black
26,The Chef Show,8.2,N/A,"3,614",30min,TV Series (2019– ),Jon Favreau
27,Console Wars,7.0,N/A,287,1h 32min,23 September 2020 (USA),Blake J. Harris
28,Jodorowsky's Dune,8.1,79,"21,321",1h 30min,16 March 2016 (France),Frank Pavich
29,Nathan for You,8.8,N/A,"17,805",30min,TV Series (2013–2017),Nathan Fielder
30,Uncle Tom,9.4,N/A,"3,763",1h 46min,19 June 2020 (USA),Justin Malone
31,Don't F**k with Cats: Hunting an Internet Killer,8.1,N/A,"32,799",3h 7min,TV Mini-Series (2019),Deanna Thompson
32,The Bradshaw Bunch,5.4,N/A,44,30min,TV Series (2020– ),Lacey Bradshaw
33,Free Solo,8.2,83,"51,379",1h 40min,13 December 2018 (New Zealand),Jimmy Chin
34,Down to Earth with Zac Efron,8.1,N/A,"4,305",N/A,TV Mini-Series (2020– ),Zac Efron
35,Our Planet,9.3,N/A,"28,872",6h 43min,TV Mini-Series (2019),David Attenborough
36,No Small Parts,7.9,N/A,780,30min,TV Series (2014– ),Brandon Hardesty
37,David Byrne's American Utopia,8.0,92,27,1h 45min,17 October 2020 (USA),Spike Lee
38,Cheer,8.2,N/A,"3,714",58min,TV Series (2020– ),Monica Aldama
39,Grant,8.4,N/A,"1,071",N/A,TV Mini-Series (2020),Justin Salinger
40,David Attenborough: A Life on Our Planet,8.9,N/A,122,1h 23min,4 October 2020 (USA),Alastair Fothergill
41,Robin's Wish,7.5,78,475,1h 17min,1 September 2020 (USA),Tylor Norwood
42,Making a Murderer,8.6,N/A,"84,648",1h,TV Series (2015– ),Dolores Avery
43,Feels Good Man,7.5,79,975,1h 32min,28 August 2020 (USA),Arthur Jones
44,Hope Frozen,6.8,N/A,214,1h 15min,15 September 2020 (USA),Pailin Wedel
45,The Way I See It,6.9,67,69,1h 40min,18 September 2020 (USA),Dawn Porter
46,Jeffrey Epstein: Filthy Rich,7.1,N/A,"14,490",3h 46min,TV Mini-Series (2020),Michael Reiter
47,Inside Look: The People v. O.J. Simpson - American Crime Story,8.4,N/A,"22,263",5min,TV Series (2016),Sarah Paulson
48,Chef's Table,8.6,N/A,"12,886",50min,TV Series (2015– ),Dan Barber
49,Chef's Table: BBQ,7.8,N/A,467,N/A,TV Series (2020– ),David Gelb
50,MeatEater,7.8,N/A,955,21min,TV Series (2012– ),Steven Rinella
51,Unfit: The Psychology of Donald Trump,6.8,N/A,531,1h 23min,28 August 2020 (USA),Dan Partland
52,The Fight,5.2,73,356,1h 36min,4 April 2020 (USA),Eli B. Despres
53,My Brother Jordan,8.8,N/A,314,1h 3min,19 August 2020 (USA),Justin Robinson
54,Inside Look: The Assassination of Gianni Versace - American Crime Story,7.7,N/A,"6,968",3min,TV Series (2017–2018),Darren Criss
55,MythBusters,8.3,N/A,"49,832",44min,TV Series (2003– ),Peter Rees
56,American Murder: The Family Next Door,7.4,67,"1,017",1h 22min,30 September 2020 (USA),Jenny Popplewell
57,Tread,7.1,66,"1,377",1h 29min,28 February 2020 (USA),Paul Solet
58,Playmate Playback,6.8,N/A,35,30min,TV Series (2015–2017),Amanda Cerny
59,Three Identical Strangers,7.7,81,"24,324",1h 36min,30 November 2018 (UK),Tim Wardle
60,Deadliest Catch,7.8,N/A,"7,625",55min,TV Series (2005– ),Mike Rowe
61,13th,8.3,83,"30,193",1h 40min,7 October 2016 (USA),Ava DuVernay
62,After Porn Ends 3,5.4,N/A,"1,378",1h 26min,30 October 2018 (USA),Brittany Andrews
63,Taco Chronicles,7.8,N/A,551,N/A,TV Series (2019– ),Gustavo Arellano
64,The Cave,7.5,83,"2,171",1h 47min,18 October 2019 (USA),Feras Fayyad
65,Forensic Files,8.8,N/A,"4,467",30min,TV Series (1996–2011),Paul Dowling
66,The Last Narc,8.7,N/A,"1,064",N/A,TV Mini-Series (2020– ),Hector Berrellez
67,Boys State,7.7,84,"1,715",1h 49min,14 August 2020 (USA),Amanda McBaine
68,Rebuilding Paradise,7.3,70,95,1h 30min,8 September 2020 (USA),Ron Howard
69,Life Below Zero,8.0,N/A,"1,485",44min,TV Series (2013– ),James Franzo
70,Trump Card,N/A,N/A,N/A,N/A,6 October 2020 (USA),Dinesh D'Souza
71,Fahrenheit 11/9,7.0,69,"16,993",2h 8min,21 September 2018 (USA),Michael Moore
72,Fear City: New York vs the Mafia,7.1,N/A,"4,428",N/A,TV Mini-Series (2020),N/A
73,Wild Wild Country,8.2,N/A,"22,868",6h 43min,TV Mini-Series (2018),Ma Anand Sheela
74,Jackass: The Movie,6.6,N/A,"80,536",1h 27min,25 October 2002 (USA),Jeff Tremaine
75,Lore,6.7,N/A,"4,459",40min,TV Series (2017–2018),Aaron Mahnke
76,Apollo 11,8.2,88,"20,341",1h 33min,1 March 2019 (Canada),Todd Douglas Miller
77,Outcry,8.4,N/A,902,N/A,TV Mini-Series (2020),Greg Kelley
78,The Dissident,8.5,85,"2,313",1h 59min,24 January 2020 (USA),Bryan Fogel
79,Fantasy Flirt,6.8,N/A,30,25min,TV Series (2017–2018),Elle Georgia
80,The Jinx: The Life and Deaths of Robert Durst,8.7,N/A,"38,015",4h 39min,TV Mini-Series (2015),Robert Durst
81,Icarus,7.9,68,"37,269",2h,4 August 2017 (USA),Bryan Fogel
82,Koyaanisqatsi,8.3,72,"34,612",1h 26min,24 August 1983 (France),Godfrey Reggio
83,The Game Changers,7.9,N/A,"14,815",1h 26min,16 September 2019 (USA),Louie Psihoyos
84,For Sama,8.5,89,"7,754",1h 40min,26 July 2019 (USA),Waad Al-Kateab
85,Dirty Money,8.1,N/A,"7,447",1h,TV Series (2018– ),Matt Taibbi
86,The Last Czars,7.3,N/A,"5,561",45min,TV Mini-Series (2019– ),Robert Jack
87,Dateline NBC,6.9,N/A,"2,006",1h,TV Series (1992– ),Lester Holt
88,Cosmos,9.3,N/A,"35,623",1h,TV Series (1980),Ann Druyan
89,Inside Job,8.2,88,"68,523",1h 49min,12 November 2010 (USA),Charles Ferguson
90,Becoming,6.8,N/A,11,24min,TV Series (2020– ),Colbie Caillat
91,Hot Girls Wanted: Turned On,6.7,N/A,"1,858",46min,TV Series (2017– ),James Rhine
92,"Bloody Nose, Empty Pockets",7.0,82,234,1h 38min,10 July 2020 (USA),Bill Ross IV
93,The Secret,5.6,N/A,"12,080",1h 30min,Video 13 September 2007,Drew Heriot
94,Unsolved Mysteries,8.3,N/A,"4,524",1h,TV Series (1987–2010),John Cosgrove
95,Catfish,7.1,65,"40,541",1h 27min,1 October 2010 (USA),Henry Joost
96,90 Day Fiancé: Before the 90 Days,6.7,N/A,583,42min,TV Series (2017– ),Darcey Silva
97,McMillions,7.2,N/A,"5,085",5h 44min,TV Mini-Series (2020),Chris Graham
98,American Factory,7.4,86,"16,206",1h 50min,21 August 2019 (USA),Steven Bognar
99,Citizenfour,8.0,88,"51,532",1h 54min,28 November 2014 (USA),Laura Poitras
