,Rank_MOJO_by_Box_office,Title,Lifetime_Gross_MOJO,Max_Theaters,Opening_Box,Opening_Th,Distributor,User_Rating_IMDB,Metacritic,Number_of_votes_IMDB,Running_Time,Director,Release_Difference
32,35,Terror in the Aisles,10004817,1134.0,4009866.0,1127.0,Universal Pictures,6.5,,1747,1h 24min,Andrew J. Kuehn,1295.0
33,36,Amy,8413144,435.0,222500.0,6.0,A24,7.8,85.0,47767,2h 8min,Asif Kapadia,12502.0
34,37,Mad Hot Ballroom,8117961,202.0,45348.0,2.0,Paramount Classics,7.3,71.0,3353,1h 45min,Marilyn Agrelo,8799.0
35,38,Jerusalem,8020721,33.0,,,National Geographic Entertainment,7.3,,1146,44min,Daniel Ferguson,11844.0
36,39,Hoop Dreams,7830611,262.0,18396.0,3.0,Fine Line Features,8.3,98.0,24023,2h 50min,Steve James,4935.0
37,40,Expelled: No Intelligence Allowed,7720487,1052.0,2970848.0,1052.0,Rocky Mountain Pictures,3.7,,11794,1h 30min,Nathan Frankowski,9870.0
38,41,Tupac: Resurrection,7718961,804.0,4632847.0,801.0,Paramount Pictures,7.9,66.0,8928,1h 52min,Lauren Lazin,8253.0
39,42,Penguins,7699452,1815.0,2282593.0,1815.0,Walt Disney Studios Motion Pictures,7.0,69.0,1276,1h 16min,Alastair Fothergill,13886.0
40,46,I Am Not Your Negro,7123919,320.0,686378.0,43.0,Magnolia Pictures,7.9,95.0,18686,1h 33min,Raoul Peck,13083.0
41,47,Roger & Me,6706368,265.0,80253.0,4.0,Warner Bros.,7.4,70.0,25414,1h 31min,Michael Moore,3178.0
42,48,Waiting for 'Superman',6417135,330.0,139033.0,4.0,Paramount Vantage,7.5,81.0,10599,1h 51min,Davis Guggenheim,10759.0
43,49,The Aristocrats,6377461,234.0,243796.0,4.0,THINKFilm,6.4,72.0,15909,1h 29min,Penn Jillette,8876.0
44,50,Fahrenheit 11/9,6352306,1719.0,3008563.0,1719.0,-,7.0,69.0,16996,2h 8min,Michael Moore,13678.0
45,51,Justin Bieber's Believe,6206566,1037.0,2007567.0,1037.0,Open Road Films (II),1.7,,17575,1h 32min,Jon M. Chu,11947.0
46,52,Meet the Mormons,6047363,333.0,2509808.0,317.0,Purdie Distribution,6.9,,1931,1h 18min,Blair Treu,12236.0
47,53,Death of a Nation,5885881,1005.0,2356522.0,1005.0,-,4.6,,6272,1h 48min,Dinesh D'Souza,13629.0
48,54,Spellbound,5728581,117.0,17508.0,1.0,THINKFilm,7.5,80.0,11812,1h 37min,Jeffrey Blitz,8055.0
49,56,Shine a Light,5505267,277.0,1488081.0,276.0,Paramount Vantage,7.2,76.0,10990,2h 2min,Martin Scorsese,9856.0
50,58,Cave of Forgotten Dreams,5304920,123.0,139101.0,5.0,IFC Films,7.4,86.0,14966,1h 30min,Werner Herzog,10976.0
51,61,Pavarotti,4600249,288.0,144032.0,19.0,CBS Films,7.5,66.0,2439,1h 54min,Ron Howard,13937.0
52,62,Touching the Void,4593598,137.0,96973.0,5.0,IFC Films,8.0,82.0,33209,1h 46min,Kevin Macdonald,8323.0
53,63,Amazing Grace,4450456,263.0,57353.0,3.0,Neon,7.5,94.0,3366,1h 29min,Alan Elliott,13755.0
54,64,"Food, Inc.",4417674,155.0,60513.0,3.0,Magnolia Pictures,7.8,80.0,49069,1h 34min,Robert Kenner,10290.0
55,65,The Biggest Little Farm,4366949,285.0,110492.0,5.0,Neon,8.1,73.0,4915,1h 31min,John Chester,13909.0
56,66,Inside Job,4312735,250.0,39649.0,2.0,Sony Pictures Classics,8.2,88.0,68530,1h 49min,Charles Ferguson,10773.0
57,67,Linda Ronstadt: The Sound of My Voice,4252657,247.0,113235.0,7.0,Greenwich Entertainment,8.0,77.0,1393,1h 35min,Rob Epstein,14028.0
58,69,Burn the Stage: The Movie,4201819,645.0,2420197.0,629.0,Trafalgar Releasing,8.8,,2465,1h 24min,Jun-Soo Park,13733.0
59,70,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,4198566,261.0,41449.0,3.0,Sony Pictures Classics,8.1,87.0,22564,1h 47min,Errol Morris,8288.0
60,71,Good Hair,4157223,466.0,1039220.0,186.0,Roadside Attractions,6.9,72.0,5440,1h 36min,Jeff Stilson,10409.0
61,72,Enron: The Smartest Guys in the Room,4071700,151.0,76639.0,3.0,Magnolia Pictures,7.6,,16548,1h 50min,Alex Gibney,8778.0
62,73,Buck,4038912,152.0,67548.0,4.0,IFC Films,7.6,76.0,3152,1h 28min,Cindy Meehl,11025.0
63,74,Young@Heart,3992189,212.0,50937.0,4.0,Fox Searchlight Pictures,7.9,75.0,3842,1h 47min,Stephen Walker,9861.0
64,75,Bully,3863446,263.0,535433.0,158.0,The Weinstein Company,7.3,74.0,9747,1h 38min,Lee Hirsch,11326.0
65,76,Where to Invade Next,3827261,308.0,897034.0,308.0,Drafthouse Films,7.5,64.0,23251,2h,Michael Moore,12726.0
66,77,The Real Cancun,3825421,2261.0,2300000.0,2261.0,New Line Cinema,2.8,,3704,1h 36min,Rick de Oliveira,8050.0
67,78,The September Issue,3820067,143.0,220633.0,6.0,Roadside Attractions,7.1,69.0,7357,1h 30min,R.J. Cutler,10367.0
68,79,Paris Is Burning,3779620,91.0,310127.0,23.0,Miramax,8.2,82.0,12206,1h 11min,Jennie Livingston,3773.0
69,80,Imagine: John Lennon,3753977,561.0,1412213.0,561.0,Warner Bros.,7.9,,4540,1h 40min,Andrew Solt,2737.0
70,81,Searching for Sugar Man,3696196,157.0,27459.0,3.0,Sony Pictures Classics,8.2,79.0,62884,1h 26min,Malik Bendjelloul,11431.0
71,82,Step Into Liquid,3681803,91.0,135985.0,5.0,Artisan Entertainment,7.5,72.0,2594,1h 28min,Dana Brown,8155.0
72,83,Pina,3524826,84.0,68012.0,3.0,IFC Films,7.7,83.0,14318,1h 43min,Wim Wenders,11214.0
73,84,Born Into Brothels: Calcutta's Red Light Kids,3515061,127.0,14605.0,1.0,THINKFilm,7.2,78.0,16015,1h 25min,Zana Briski,8643.0
74,86,An Inconvenient Sequel: Truth to Power,3496795,556.0,124823.0,4.0,Paramount Pictures,6.4,68.0,7519,1h 38min,Bonni Cohen,13258.0
75,87,Echo in the Canyon,3355324,147.0,117651.0,2.0,Greenwich Entertainment,6.9,69.0,2231,1h 22min,Andrew Slater,13923.0
76,88,Rize,3336391,352.0,1574787.0,352.0,Lionsgate,7.1,74.0,3113,1h 26min,David LaChapelle,8841.0
77,89,Exit Through the Gift Shop,3291250,46.0,170756.0,8.0,-,8.0,85.0,61670,1h 27min,Banksy,10598.0
78,90,Catfish,3237343,143.0,257285.0,12.0,Rogue Pictures,7.1,65.0,40543,1h 27min,Henry Joost,10752.0
79,91,Grizzly Man,3178403,105.0,269131.0,29.0,Lionsgate,7.8,87.0,52179,1h 43min,Werner Herzog,8890.0
80,92,The Eagle Huntress,3169351,122.0,52574.0,4.0,Sony Pictures Classics,7.5,72.0,3436,1h 27min,Otto Bell,12990.0
81,93,Maiden,3168978,180.0,46931.0,6.0,Sony Pictures Classics,7.7,82.0,1634,1h 37min,Alex Holmes,13958.0
82,94,Wordplay,3121270,154.0,32847.0,2.0,IFC Films,7.3,73.0,3565,1h 34min,Patrick Creadon,9198.0
83,95,Capturing the Friedmans,3119113,78.0,65154.0,3.0,Magnolia Pictures,7.7,90.0,23736,1h 47min,Andrew Jarecki,8085.0
84,96,The Wild Parrots of Telegraph Hill,3058527,67.0,36731.0,5.0,Shadow Distribution,7.8,80.0,2921,1h 23min,Judy Irving,8706.0
85,97,Crumb,3041083,56.0,19859.0,1.0,Sony Pictures Classics,8.0,93.0,18236,1h 59min,Terry Zwigoff,5124.0
86,98,Whitney,3026351,451.0,1265572.0,451.0,Roadside Attractions,7.3,75.0,6439,2h,Kevin Macdonald,13601.0
87,100,Man on Wire,2962242,93.0,51392.0,2.0,Magnolia Pictures,7.7,89.0,52023,1h 34min,James Marsh,9968.0
88,101,Joan Rivers: A Piece of Work,2930687,115.0,164351.0,7.0,IFC Films,7.4,79.0,3573,1h 24min,Ricki Stern,10654.0
89,102,The Beatles: Eight Days a Week - The Touring Years,2930414,155.0,785336.0,85.0,Abramorama,7.8,72.0,11054,1h 46min,Ron Howard,12942.0
90,103,Unzipped,2875086,119.0,71275.0,2.0,Miramax,6.5,,1041,1h 13min,Douglas Keeve,5229.0
91,104,Kedi,2835047,130.0,40103.0,1.0,Oscilloscope,7.7,78.0,12720,1h 19min,Ceyda Torun,13090.0
92,105,Citizenfour,2800870,105.0,126321.0,5.0,RADiUS-TWC,8.0,88.0,51546,1h 54min,Laura Poitras,12250.0
93,106,When We Were Kings,2789985,92.0,12479.0,2.0,Gramercy Pictures (I),8.0,83.0,14951,1h 28min,Leon Gast,5677.0
94,107,Comedian,2751988,244.0,60224.0,4.0,Miramax,6.9,62.0,6474,1h 22min,Christian Charles,7854.0
95,108,My Architect,2750707,39.0,37929.0,2.0,New Yorker Films,7.4,81.0,3055,1h 56min,Nathaniel Kahn,8251.0
96,110,Samsara,2672413,70.0,76222.0,2.0,Oscilloscope,8.5,65.0,32636,1h 42min,Ron Fricke,11459.0
97,111,He Named Me Malala,2668936,477.0,61808.0,4.0,Fox Searchlight Pictures,6.9,61.0,4417,1h 28min,Davis Guggenheim,12593.0
98,112,Control Room,2589616,74.0,27125.0,1.0,Magnolia Pictures,7.6,79.0,5001,1h 24min,Jehane Noujaim,8442.0
99,113,Is Genesis History?,2570392,704.0,,,Fathom Events,4.2,,1462,1h 40min,Thomas Purifoy,13103.0
100,114,Jiro Dreams of Sushi,2552478,80.0,42035.0,2.0,Magnolia Pictures,7.9,77.0,33083,1h 21min,David Gelb,11291.0
101,116,The Endurance,2453083,40.0,18931.0,3.0,Cowboy Pictures,7.8,85.0,1846,1h 37min,George Butler,7483.0
102,117,The Gatekeepers,2415727,131.0,61552.0,3.0,Sony Pictures Classics,7.6,91.0,5400,1h 41min,Dror Moreh,11620.0
103,118,The Queen of Versailles,2401999,89.0,51326.0,3.0,Magnolia Pictures,7.1,80.0,12451,1h 40min,Lauren Greenfield,11424.0
104,120,Meru,2334228,176.0,91279.0,7.0,Music Box Films,7.7,77.0,14634,1h 30min,Jimmy Chin,12544.0
105,123,A Brief History of Time,2279692,45.0,84025.0,5.0,Triton Pictures,7.3,78.0,5128,1h 20min,Errol Morris,4151.0
106,124,Riding Giants,2276368,64.0,134400.0,26.0,Sony Pictures Classics,7.9,80.0,4326,1h 45min,Stacy Peralta,8491.0
107,126,The Endless Summer 2,2155385,302.0,657292.0,302.0,New Line Cinema,7.5,,1823,1h 49min,Bruce Brown,4802.0
108,127,Blackfish,2073582,99.0,75962.0,5.0,Magnolia Pictures,8.1,83.0,60899,1h 23min,Gabriela Cowperthwaite,11788.0
109,129,Beyond the Mat,2053648,298.0,9532.0,1.0,Lionsgate,7.6,73.0,8103,1h 42min,Barry W. Blaustein,6769.0
110,130,This Is Elvis,2028612,309.0,429146.0,309.0,Warner Bros.,7.5,,1149,1h 50min,Malcolm Leo,0.0
111,131,Pope Francis: A Man of His Word,2008385,385.0,507870.0,346.0,Focus Features,6.2,63.0,1906,1h 36min,Wim Wenders,13552.0
112,134,The Corporation,1879983,28.0,28671.0,2.0,Zeitgeist Films,8.0,73.0,20290,2h 25min,Mark Achbar,8456.0
113,135,Fantastic Fungi,1788322,37.0,9419.0,1.0,Area 23a,7.7,70.0,1345,1h 21min,Louie Schwartzberg,14042.0
114,137,Valentino: The Last Emperor,1755134,38.0,21762.0,1.0,Truly Indie,7.2,68.0,1731,1h 36min,Matt Tyrnauer,10204.0
115,138,Girl Rising,1727259,170.0,81640.0,34.0,GathrFilms,7.1,,1156,1h 41min,Richard Robbins,11654.0
116,139,Every Little Step,1725141,70.0,68504.0,8.0,Sony Pictures Classics,7.5,76.0,1420,1h 36min,Adam Del Deo,10234.0
117,140,Koyaanisqatsi,1723872,,,,Island Alive,8.3,72.0,34615,1h 26min,Godfrey Reggio,747.0
118,141,Jane,1723379,96.0,58348.0,3.0,Abramorama,7.8,87.0,4416,1h 30min,Brett Morgen,13342.0
119,144,Who Killed the Electric Car?,1678874,74.0,45138.0,8.0,Sony Pictures Classics,7.6,70.0,12074,1h 32min,Chris Paine,9210.0
120,145,Weiner,1676108,88.0,84173.0,5.0,IFC Films,7.6,84.0,9600,1h 36min,Josh Kriegman,12824.0
121,146,Tim's Vermeer,1671377,129.0,49777.0,4.0,Sony Pictures Classics,7.8,76.0,7681,1h 20min,Teller,11984.0
122,148,Senna,1612430,47.0,73497.0,2.0,-,8.5,79.0,62630,1h 46min,Asif Kapadia,11081.0
123,149,It Might Get Loud,1610163,75.0,92679.0,7.0,Sony Pictures Classics,7.6,70.0,12260,1h 38min,Davis Guggenheim,10353.0
124,151,Stories We Tell,1600145,70.0,27053.0,2.0,Roadside Attractions,7.5,91.0,12142,1h 48min,Sarah Polley,11718.0
125,152,I Am,1591034,74.0,10092.0,1.0,Paladin,7.5,,3435,1h 18min,Tom Shadyac,10906.0
126,153,Western Stars,1581681,553.0,560282.0,345.0,Warner Bros.,7.5,80.0,1318,1h 23min,Bruce Springsteen,14077.0
127,156,Awake: The Life of Yogananda,1539680,21.0,18885.0,1.0,-,7.3,,1106,1h 27min,Paola di Florio,12236.0
128,157,Fed Up,1538899,104.0,126028.0,18.0,RADiUS-TWC,7.7,71.0,11379,1h 32min,Stephanie Soechtig,12082.0
129,158,Murderball,1531154,97.0,57286.0,8.0,THINKFilm,7.7,87.0,9790,1h 28min,Henry Alex Rubin,8855.0
130,159,Finding Vivian Maier,1514782,97.0,63600.0,3.0,IFC Films,7.7,75.0,12904,1h 23min,John Maloof,12040.0
131,162,Why We Fight,1439972,64.0,53571.0,6.0,Sony Pictures Classics,8.0,68.0,9710,1h 38min,Eugene Jarecki,9051.0
132,162,Why We Fight,1439972,64.0,53571.0,6.0,Sony Pictures Classics,7.0,,1935,52min,Frank Capra,9051.0
133,163,The Kid Stays in the Picture,1439232,56.0,89087.0,4.0,Focus Features,7.3,75.0,6899,1h 33min,Nanette Burstein,7777.0
134,164,No End in Sight,1433319,117.0,31533.0,2.0,Magnolia Pictures,8.2,89.0,8105,1h 42min,Charles Ferguson,9604.0
135,165,Microcosmos,1433210,43.0,35189.0,2.0,Miramax,7.9,,10591,1h 20min,Claude Nuridsany,5661.0
136,166,Marley,1413480,73.0,262004.0,42.0,Magnolia Pictures,8.0,82.0,13046,2h 24min,Kevin Macdonald,11333.0
137,167,Looking for Richard,1408575,81.0,33843.0,2.0,Fox Searchlight Pictures,7.3,,7811,1h 51min,Al Pacino,5663.0
138,168,The Celluloid Closet,1400591,38.0,95047.0,9.0,Sony Pictures Classics,7.8,,6068,1h 42min,Rob Epstein,5453.0
139,170,The Salt of the Earth,1343349,80.0,44900.0,4.0,Sony Pictures Classics,8.5,83.0,19345,1h 50min,Juliano Ribeiro Salgado,12404.0
140,171,Restrepo,1330894,52.0,35581.0,2.0,National Geographic Entertainment,7.5,85.0,21790,1h 33min,Tim Hetherington,10668.0
141,172,Chasing Ice,1328467,53.0,,,Submarine Deluxe,7.8,75.0,8185,1h 15min,Jeff Orlowski,11536.0
142,173,Hearts of Darkness: A Filmmaker's Apocalypse,1318449,28.0,42992.0,4.0,Triton Pictures,8.1,,18690,1h 36min,Fax Bahr,3883.0
143,174,Iris,1310678,92.0,57254.0,6.0,Magnolia Pictures,7.2,80.0,4142,1h 19min,Albert Maysles,12437.0
144,175,Anne Frank Remembered,1310200,31.0,26697.0,4.0,Sony Pictures Classics,8.0,,1010,1h 57min,Jon Blair,5432.0
145,177,Brother's Keeper,1305915,15.0,10758.0,1.0,-,7.5,93.0,3812,1h 44min,Joe Berlinger,4170.0
146,178,The Wolfpack,1301696,94.0,43920.0,2.0,Magnolia Pictures,7.0,75.0,11829,1h 30min,Crystal Moselle,12481.0
147,179,Dogtown and Z-Boys,1300682,70.0,103355.0,20.0,Sony Pictures Classics,7.7,76.0,12136,1h 31min,Stacy Peralta,7686.0
148,180,No Safe Spaces,1291514,200.0,45236.0,1.0,Atlas Distribution Company,7.7,,1161,1h 40min,Justin Folk,14077.0
149,181,Startup.com,1283356,35.0,16118.0,1.0,Artisan Entertainment,7.0,75.0,3255,1h 47min,Chris Hegedus,7336.0
150,182,Maria By Callas,1267301,149.0,91915.0,16.0,Sony Pictures Classics,7.2,71.0,1506,1h 59min,Tom Volf,13720.0
151,184,McQueen,1257275,95.0,98873.0,4.0,Bleecker Street Media,7.8,84.0,6158,1h 51min,Ian Bonhôte,13615.0
152,185,Baraka,1254237,15.0,26812.0,2.0,The Samuel Goldwyn Company,8.6,,35637,1h 36min,Ron Fricke,4550.0
153,187,Gonzo,1252100,59.0,191942.0,26.0,Magnolia Pictures,7.7,73.0,7460,2h,Alex Gibney,9947.0
154,190,Metallica: Some Kind of Monster,1222708,147.0,46359.0,3.0,IFC Films,7.5,74.0,17196,1h 24min,Joe Berlinger,8491.0
155,191,The Thin Blue Line,1209846,23.0,17814.0,1.0,Miramax,8.0,79.0,21252,1h 41min,Errol Morris,2695.0
156,192,Inequality for All,1205273,103.0,140888.0,28.0,RADiUS-TWC,8.1,68.0,6571,1h 29min,Jacob Kornbluth,11858.0
157,193,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",1200326,54.0,111982.0,4.0,Sony Pictures Classics,7.7,76.0,3433,1h 37min,Michael Rapaport,11046.0
158,197,Festival Express,1174079,43.0,12074.0,1.0,THINKFilm,7.6,85.0,2138,1h 30min,Bob Smeaton,8505.0
159,198,American Movie,1165795,29.0,20260.0,2.0,Sony Pictures Classics,7.9,84.0,16538,1h 47min,Chris Smith,6783.0
160,199,Vaxxed: From Cover-Up to Catastrophe,1163265,95.0,28339.0,1.0,Cinema Libre Studio,5.2,,4370,1h 31min,Andrew Wakefield,12775.0
161,202,In the Shadow of the Moon,1134358,104.0,38281.0,4.0,THINKFilm,8.0,84.0,6500,1h 40min,David Sington,9646.0
162,203,Paper Clips,1121744,43.0,25535.0,5.0,Slowhand Cinema Releasing,7.2,64.0,1668,1h 22min,Elliot Berlin,8629.0
163,204,The U.S. vs. John Lennon,1109146,65.0,69143.0,6.0,Lionsgate,7.3,64.0,5351,1h 39min,David Leaf,9289.0
164,208,Page One: Inside the New York Times,1067028,65.0,28911.0,2.0,Magnolia Pictures,6.9,68.0,3248,1h 32min,Andrew Rossi,11025.0
165,209,Leonard Cohen: I'm Your Man,1044254,55.0,17130.0,1.0,Lionsgate,6.8,68.0,2074,1h 45min,Lian Lunson,9203.0
166,210,The Eyes of Tammy Faye,1029591,51.0,,,Lionsgate,7.1,69.0,1501,1h 19min,Fenton Bailey,7042.0
167,211,Dior and I,1028953,105.0,45772.0,2.0,The Orchard,7.3,70.0,3474,1h 30min,Frédéric Tcheng,12418.0
168,212,Diana Vreeland: The Eye Has to Travel,1017579,27.0,63700.0,3.0,The Samuel Goldwyn Company,7.5,69.0,1417,1h 26min,Lisa Immordino Vreeland,11487.0
169,213,First Position,1014071,58.0,48024.0,5.0,IFC Films,7.6,72.0,3269,1h 35min,Bess Kargman,11347.0
170,214,Marianne & Leonard: Words of Love,1012034,101.0,44942.0,4.0,Roadside Attractions,6.9,69.0,1238,1h 42min,Nick Broomfield,13965.0
171,217,The Dawn Wall,970032,593.0,,,Fathom Events,8.1,81.0,13522,1h 40min,Josh Lowell,13676.0
172,218,Faces Places,953717,42.0,31006.0,5.0,Cohen Media Group,7.9,94.0,10436,1h 34min,JR,13328.0
173,219,More Than a Game,950675,111.0,182943.0,14.0,Lionsgate,7.6,,5073,1h 45min,Kristopher Belman,10402.0
174,220,Encounters at the End of the World,944933,39.0,17730.0,1.0,THINKFilm,7.7,80.0,16938,1h 39min,Werner Herzog,9924.0
175,221,American Teen,942441,109.0,45589.0,5.0,Paramount Vantage,6.4,66.0,4066,1h 35min,Nanette Burstein,9968.0
176,222,Dark Horse,940715,74.0,13838.0,3.0,Sony Pictures Classics,7.3,75.0,978,1h 25min,Louise Osmond,12810.0
177,223,Patterns of Evidence: Exodus,925576,652.0,764309.0,652.0,Thinking Man Films,7.2,,996,1h 55min,Tim Mahoney,12337.0
178,224,35 Up,922872,21.0,13690.0,1.0,The Samuel Goldwyn Company,8.2,,2282,2h 3min,Michael Apted,3932.0
179,228,Jesus Camp,902544,52.0,17659.0,13.0,Magnolia Pictures,7.4,62.0,26176,1h 27min,Heidi Ewing,9289.0
180,229,The War Room,901668,21.0,15264.0,1.0,October Films,7.3,78.0,3786,1h 36min,Chris Hegedus,4590.0
181,230,The Imposter,898317,31.0,22379.0,1.0,-,7.5,77.0,44629,1h 39min,Bart Layton,11417.0
182,231,The Wildest Dream,898137,21.0,67848.0,12.0,National Geographic Entertainment,7.3,,2347,1h 34min,Anthony Geffen,10710.0
183,233,Tea With the Dames,889343,71.0,14777.0,1.0,IFC Films,7.3,85.0,1810,1h 24min,Roger Michell,13678.0
184,234,Tyson,887918,56.0,85046.0,11.0,Sony Pictures Classics,7.5,83.0,12098,1h 30min,James Toback,10241.0
185,235,"Fast, Cheap & Out of Control",878960,40.0,23665.0,2.0,Sony Pictures Classics,7.2,,3599,1h 20min,Errol Morris,6020.0
186,237,Particle Fever,869838,27.0,53901.0,4.0,Abramorama,7.4,87.0,7134,1h 39min,Mark Levinson,12017.0
187,238,The Cove,857005,56.0,57640.0,4.0,Roadside Attractions,8.4,84.0,46897,1h 32min,Louie Psihoyos,10339.0
188,240,Sharkwater,850920,60.0,37140.0,60.0,Freestyle Releasing,8.0,,4759,1h 29min,Rob Stewart,9667.0
189,241,Generation Iron,849521,84.0,245000.0,53.0,The Vladar Company,7.1,61.0,7531,1h 46min,Vlad Yudin,11851.0
190,242,Arctic Tale,833532,227.0,22607.0,4.0,Paramount Vantage,7.0,64.0,1770,1h 36min,Adam Ravetch,9602.0
191,243,I.O.U.S.A.,821046,358.0,61313.0,18.0,Roadside Attractions,7.5,70.0,1822,1h 25min,Patrick Creadon,9996.0
192,244,Bombshell: The Hedy Lamarr Story,820300,36.0,8000.0,1.0,Zeitgeist Films,7.4,70.0,3225,1h 28min,Alexandra Dean,13377.0
193,246,Honeyland,815082,56.0,31381.0,2.0,Neon,8.0,86.0,12477,1h 29min,Tamara Kotevska,13986.0
194,247,Life Itself,810454,100.0,131411.0,23.0,Magnolia Pictures,7.8,87.0,14711,2h 1min,Steve James,12138.0
195,249,The Tillman Story,802535,28.0,52185.0,4.0,The Weinstein Company,7.7,86.0,4514,1h 34min,Amir Bar-Lev,10724.0
196,250,Visions of Light,799856,13.0,27761.0,2.0,Kino International,7.7,,3006,1h 32min,Arnold Glassman,4338.0
197,253,Up the Yangtze,783969,23.0,15851.0,1.0,Zeitgeist Films,7.5,84.0,1775,1h 33min,Yung Chang,9877.0
198,256,To Be and to Have,777129,14.0,20528.0,3.0,New Yorker Films,7.8,87.0,7717,1h 44min,Nicolas Philibert,8197.0
199,259,For All Mankind,770132,9.0,33777.0,6.0,Apollo Associates,8.2,79.0,4998,1h 20min,Al Reinert,3127.0
