,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
552,Beautiful People,8.3,N/A,"3,596",1h 32min,November 1974 (USA),Jamie Uys
553,Comandante,6.9,N/A,"3,594",1h 39min,6 June 2003 (Spain),Oliver Stone
554,I Am Bruce Lee,7.5,N/A,"3,591",1h 34min,TV Movie 9 February 2012,Pete McCormack
555,Nobody Speak: Trials of the Free Press,6.5,68,"3,586",1h 35min,23 June 2017 (USA),Brian Knappenberger
556,The Decline of Western Civilization,7.6,93,"3,586",1h 40min,1983 (Italy),Penelope Spheeris
557,The Culture High,8.2,N/A,"3,575",2h,17 October 2014 (USA),Brett Harvey
558,Joan Rivers: A Piece of Work,7.4,79,"3,573",1h 24min,2 July 2010 (USA),Ricki Stern
559,Merchants of Doubt,7.7,70,"3,571",1h 36min,12 December 2014 (UK),Robert Kenner
560,Olympia 2. Teil - Fest der Schönheit,7.7,N/A,"3,569",1h 30min,29 March 1940 (USA),Leni Riefenstahl
561,Miss Representation,7.6,N/A,"3,564",1h 25min,15 April 2014 (Netherlands),Jennifer Siebel Newsom
562,Wordplay,7.3,73,"3,565",1h 34min,21 July 2006 (USA),Patrick Creadon
563,Messi,7.3,N/A,"3,562",1h 33min,1 January 2015 (Spain),Álex de la Iglesia
564,Seven Up!,8.0,N/A,"3,543",40min,TV Short 5 May 1964,Paul Almond
565,Zach Galifianakis: Live at the Purple Onion,7.3,N/A,"3,540",1h 30min,Video 2006,Michael Blieden
566,Kurt Cobain About a Son,7.4,69,"3,535",1h 36min,3 October 2007 (USA),AJ Schnack
567,Jim Gaffigan: Beyond the Pale,8.0,N/A,"3,524",1h 12min,TV Special 29 January 2006,Michael Drumm
568,The Sorrow and the Pity,8.2,N/A,"3,516",4h 11min,25 March 1972 (USA),Marcel Ophüls
569,End of the Century,8.0,74,"3,509",1h 50min,27 November 2004 (Japan),Jim Fields
570,A Band Called Death,7.5,77,"3,498",1h 36min,28 June 2013 (USA),Mark Christopher Covino
571,Der ewige Jude,4.9,N/A,"3,481",1h 2min,28 November 1940 (Germany),Fritz Hippler
572,Objectified,7.1,N/A,"3,479",1h 15min,22 May 2009 (UK),Gary Hustwit
573,Dior and I,7.3,70,"3,474",1h 30min,10 April 2015 (USA),Frédéric Tcheng
574,Expedition Happiness,5.9,N/A,"3,460",1h 35min,4 May 2017 (Germany),Felix Starck
575,I Am Ali,7.2,N/A,"3,458",1h 51min,28 November 2014 (UK),Clare Lewins
576,Mondo cane,6.4,N/A,"3,457",1h 48min,30 March 1962 (Italy),Paolo Cavara
577,Muscle Shoals,7.7,75,"3,453",1h 51min,25 October 2013 (UK),Greg 'Freddy' Camalier
578,Born in China,7.2,N/A,"3,451",1h 19min,21 April 2017 (USA),Chuan Lu
579,Loose Change 9/11: An American Coup,7.2,N/A,"3,450",1h 39min,Video 22 September 2009,Dylan Avery
580,Dinosaur 13,7.2,66,"3,448",1h 35min,15 August 2014 (Ireland),Todd Douglas Miller
581,Grass,7.2,64,"3,437",1h 20min,14 July 2000 (Spain),Ron Mann
582,The Eagle Huntress,7.5,72,"3,436",1h 27min,16 December 2016 (UK),Otto Bell
583,I Am,7.5,N/A,"3,435",1h 18min,February 2011 (USA),Tom Shadyac
584,The Kids Are Alright,8.1,N/A,"3,434",1h 49min,23 November 1979 (Denmark),Jeff Stein
585,"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",7.7,76,"3,433",1h 37min,19 January 2012 (Netherlands),Michael Rapaport
586,The Other Dream Team,8.4,69,"3,429",1h 29min,28 September 2012 (USA),Marius A. Markevicius
587,City of Ghosts,7.4,86,"3,422",1h 32min,21 July 2017 (UK),Matthew Heineman
588,Strong Island,6.4,86,"3,420",1h 47min,15 September 2017 (USA),Yance Ford
589,The Interrupters,7.5,86,"3,420",2h 5min,12 August 2011 (UK),Steve James
590,Banking on Bitcoin,6.6,N/A,"3,415",1h 30min,2016 (USA),Christopher Cannucciari
591,The Weather Underground,7.4,77,"3,411",1h 32min,13 November 2003 (Australia),Sam Green
592,Alone in the Wilderness,8.7,N/A,"3,407",57min,TV Movie 8 October 2004,Sam Keith
593,Bill Cosby: Himself,8.2,N/A,"3,407",1h 45min,20 May 1983 (USA),Bill Cosby
594,Quincy,7.6,N/A,"3,393",2h 4min,21 September 2018 (USA),Alan Hicks
595,Gui tu lie che,7.7,86,"3,391",1h 25min,9 September 2010 (Denmark),Lixin Fan
596,Fata Morgana,6.8,N/A,"3,386",1h 19min,1 February 1972 (West Germany),Werner Herzog
597,Marwencol,7.6,82,"3,380",1h 23min,8 October 2010 (USA),Jeff Malmberg
598,Amazing Grace,7.5,94,"3,366",1h 29min,5 April 2019 (USA),Alan Elliott
599,Is the Man Who Is Tall Happy?,7.1,76,"3,360",1h 28min,25 November 2013 (USA),Michel Gondry
600,Standing in the Shadows of Motown,7.8,76,"3,358",1h 48min,29 November 2002 (USA),Paul Justman
601,The Decline of Western Civilization Part II: The Metal Years,7.2,N/A,"3,358",1h 33min,24 August 1989 (Australia),Penelope Spheeris
602,Mea Maxima Culpa: Silence in the House of God,8.0,73,"3,354",1h 46min,16 November 2012 (USA),Alex Gibney
603,Mad Hot Ballroom,7.3,71,"3,353",1h 45min,1 July 2005 (USA),Marilyn Agrelo
604,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,7.5,N/A,"3,350",1h 37min,6 November 2015 (Spain),David Gregory
605,"Li Hai Le, Wo De Guo",1.4,N/A,"3,328",1h 30min,2 March 2018 (China),Tie Wei
606,Facing Ali,8.0,N/A,"3,321",1h 40min,16 December 2010 (Singapore),Pete McCormack
607,Bukowski: Born into This,7.9,77,"3,317",2h 10min,30 April 2004 (UK),John Dullaghan
608,Operation Odessa,7.8,N/A,"3,310",1h 35min,9 March 2018 (USA),Tiller Russell
609,Something from Nothing: The Art of Rap,7.2,66,"3,309",1h 46min,20 July 2012 (UK),Ice-T
610,Going to Pieces: The Rise and Fall of the Slasher Film,7.3,N/A,"3,302",1h 28min,13 October 2006 (USA),Jeff McQueen
611,Antarctica: A Year on Ice,7.6,69,"3,289",1h 31min,28 November 2014 (USA),Anthony Powell
612,Leviathan,6.6,81,"3,287",1h 27min,28 August 2013 (France),Lucien Castaing-Taylor
613,American Hardcore,7.4,69,"3,275",1h 40min,22 September 2006 (USA),Paul Rachman
614,George Carlin: Complaints & Grievances,8.5,N/A,"3,270",55min,TV Special 17 November 2001,Rocco Urbisci
615,First Position,7.6,72,"3,269",1h 35min,10 August 2012 (Taiwan),Bess Kargman
616,Startup.com,7.0,75,"3,255",1h 47min,1 June 2001 (USA),Chris Hegedus
617,Travis Scott: Look Mom I Can Fly,6.3,N/A,"3,252",1h 24min,28 August 2019 (USA),White Trash Tyler
618,The Last Man on the Moon,7.4,78,"3,251",1h 35min,26 February 2016 (USA),Mark Craig
619,Becoming Warren Buffett,7.6,N/A,"3,248",1h 30min,30 January 2017 (USA),Peter W. Kunhardt
620,Page One: Inside the New York Times,6.9,68,"3,248",1h 32min,29 September 2011 (Denmark),Andrew Rossi
621,Chronos,7.8,N/A,"3,247",43min,10 May 1985 (USA),Ron Fricke
622,The Matrix Revisited,7.3,N/A,"3,244",2h 3min,Video 20 November 2001,Josh Oreck
623,The Beaches of Agnès,8.0,86,"3,232",1h 52min,17 December 2008 (France),Agnès Varda
624,Bombshell: The Hedy Lamarr Story,7.4,70,"3,225",1h 28min,8 March 2018 (Ireland),Alexandra Dean
625,Waco: The Rules of Engagement,7.9,N/A,"3,223",2h 45min,19 September 1997 (USA),William Gazecki
626,Last Breath,7.7,N/A,"3,221",1h 30min,5 April 2019 (UK),Richard da Costa
627,Trinity and Beyond: The Atomic Bomb Movie,7.9,N/A,"3,215",1h 32min,Video 29 September 1995,Peter Kuran
628,Beware of Mr. Baker,7.6,78,"3,210",1h 40min,17 May 2013 (UK),Jay Bulger
629,George Carlin: Jammin' in New York,8.7,N/A,"3,202",59min,TV Special 25 April 1992,Rocco Urbisci
630,The Dudesons Movie,6.1,N/A,"3,188",1h 15min,31 March 2006 (Finland),Jarno Laasala
631,"Houston, We Have a Problem",7.9,N/A,"3,183",1h 28min,21 July 2017 (USA),Ziga Virc
632,Rocco,5.8,N/A,"3,178",1h 45min,1 September 2017 (USA),Thierry Demaizière
633,Circus of Books,7.0,74,"3,173",1h 32min,22 April 2020 (USA),Rachel Mason
634,Be Here Now,8.6,N/A,"3,172",1h 40min,28 February 2017 (UK),Lilibet Foster
635,My Kid Could Paint That,7.1,74,"3,166",1h 22min,14 December 2007 (UK),Amir Bar-Lev
636,Happy,7.2,N/A,"3,164",1h 16min,11 February 2012 (USA),Roko Belic
637,Only the Dead,7.7,N/A,"3,162",1h 17min,15 February 2016 (UK),Bill Guttentag
638,I Am Chris Farley,7.5,N/A,"3,161",1h 36min,27 July 2015 (USA),Brent Hodge
639,Buck,7.6,76,"3,152",1h 28min,16 February 2012 (Australia),Cindy Meehl
640,Joy Division,7.8,N/A,"3,151",1h 33min,2 May 2008 (UK),Grant Gee
641,Meet the Patels,7.2,70,"3,141",1h 28min,11 September 2015 (USA),Geeta V. Patel
642,Jim Gaffigan: Mr. Universe,7.8,N/A,"3,140",1h 18min,Video 11 April 2012,Jay Karas
643,Tomorrow,8.0,71,"3,136",1h 58min,14 April 2017 (USA),Cyril Dion
644,Supermensch: The Legend of Shep Gordon,7.4,64,"3,133",1h 25min,6 June 2014 (USA),Beth Aala
645,Killer Legends,6.3,N/A,"3,127",1h 26min,16 March 2014 (USA),Joshua Zeman
646,Robin Williams: Weapons of Self Destruction,7.8,N/A,"3,126",1h 30min,TV Special 6 December 2009,Marty Callner
647,The Battered Bastards of Baseball,8.0,75,"3,122",1h 20min,11 July 2014 (Netherlands),Chapman Way
648,Everest,7.0,N/A,"3,121",44min,6 March 1998 (USA),David Breashears
649,Rize,7.1,74,"3,113",1h 26min,24 June 2005 (USA),David LaChapelle
650,Bright Lights,8.0,78,"3,107",1h 35min,TV Movie 7 January 2017,Alexis Bloom
651,The Short Films of David Lynch,7.4,N/A,"3,095",1h 37min,Video 1 June 2002,David Lynch
652,All This Mayhem,7.9,N/A,"3,089",1h 44min,10 July 2014 (Australia),Eddie Martin
653,I Am Bolt,7.1,64,"3,076",1h 47min,28 November 2016 (USA),Benjamin Turner
654,Hungry for Change,7.5,N/A,"3,073",1h 29min,21 March 2012 (Australia),James Colquhoun
655,Deutschland. Ein Sommermärchen,7.0,N/A,"3,070",1h 48min,5 October 2006 (Germany),Sönke Wortmann
656,My Architect,7.4,81,"3,055",1h 56min,12 November 2003 (USA),Nathaniel Kahn
657,If a Tree Falls: A Story of the Earth Liberation Front,7.2,65,"3,053",1h 25min,January 2011 (USA),Marshall Curry
658,The Soviet Story,8.1,N/A,"3,047",1h 26min,24 October 2008 (USA),Edvins Snore
659,Disclosure,8.3,80,"3,035",1h 48min,19 June 2020 (USA),Sam Feder
660,The Missing Picture,7.4,87,"3,032",1h 32min,19 March 2014 (USA),Rithy Panh
661,78/52: Hitchcock's Shower Scene,7.3,74,"3,030",1h 31min,13 October 2017 (USA),Alexandre O. Philippe
662,Reindeerspotting - pako Joulumaasta,7.4,N/A,"3,028",1h 24min,8 June 2011 (USA),Joonas Neuvonen
663,Daft Punk Unchained,7.3,N/A,"3,022",1h 25min,24 June 2015 (France),Hervé Martin-Delpierre
664,The Making of Dr. Horrible's Sing-Along Blog,8.7,N/A,"3,014",20min,Video 19 December 2008,Ethan Shaftel
665,Visions of Light,7.7,N/A,"3,006",1h 32min,24 February 1993 (USA),Arnold Glassman
666,"Vernon, Florida",7.1,N/A,"3,006",55min,8 October 1981 (USA),Errol Morris
667,Meeting People Is Easy,7.5,N/A,"2,999",1h 39min,20 March 1999 (USA),Grant Gee
668,Gringo: The Dangerous Life of John McAfee,6.7,N/A,"2,997",1h 37min,24 September 2016 (USA),Nanette Burstein
669,My Voyage to Italy,8.2,90,"2,992",4h 6min,16 May 2002 (France),Martin Scorsese
670,Marighella,3.5,N/A,"2,983",1h 40min,10 August 2012 (Brazil),Isa Grinspum Ferraz
671,On vam ne Dimon,8.9,N/A,"2,971",50min,2 March 2017 (Russia),Alexei Navalny
672,Night Will Fall,8.0,85,"2,966",1h 15min,5 December 2014 (USA),André Singer
673,All Things Must Pass,7.3,73,"2,956",1h 34min,16 October 2015 (USA),Colin Hanks
674,Food Choices,7.3,N/A,"2,947",1h 31min,2 September 2016 (USA),Michal Siewierski
675,Life After People,7.4,N/A,"2,940",1h 48min,TV Movie 21 January 2008,David de Vries
676,George Carlin: Back in Town,8.7,N/A,"2,939",1h,TV Special 30 March 1996,Rocco Urbisci
677,Dreams of a Life,6.8,62,"2,938",1h 35min,3 August 2012 (USA),Carol Morley
678,Alive Inside: A Story of Music and Memory,8.2,67,"2,934",1h 18min,18 October 2014 (Germany),Michael Rossato-Bennett
679,Deep Water,7.8,80,"2,932",1h 32min,15 December 2006 (UK),Louise Osmond
680,Born to Be Wild,7.6,66,"2,930",40min,8 April 2011 (USA),David Lickley
681,Lumière et compagnie,6.9,N/A,"2,926",1h 28min,20 December 1995 (France),Theodoros Angelopoulos
682,Tab Hunter Confidential,7.7,N/A,"2,925",1h 30min,16 October 2015 (USA),Jeffrey Schwarz
683,The Wild Parrots of Telegraph Hill,7.8,80,"2,921",1h 23min,27 May 2005 (USA),Judy Irving
684,Struggle: The Life and Lost Art of Szukalski,8.0,N/A,"2,905",1h 55min,21 December 2018 (USA),Irek Dobrowolski
685,"Zidane, un portrait du 21e siècle",6.3,N/A,"2,905",1h 30min,24 May 2006 (France),Douglas Gordon
686,Tom Segura: Disgraceful,7.6,N/A,"2,884",1h 11min,TV Special 12 January 2018,Jay Karas
687,A Secret Love,7.9,77,"2,884",1h 21min,29 April 2020 (USA),Chris Bolan
688,Hitting the Apex,8.3,N/A,"2,882",2h 18min,23 September 2015 (Italy),Mark Neale
689,Mike Birbiglia: My Girlfriend's Boyfriend,8.0,N/A,"2,878",1h 16min,TV Special 4 September 2013,Seth Barrish
690,An Evening with Kevin Smith 2: Evening Harder,7.8,N/A,"2,873",3h 59min,Video 28 November 2006,J.M. Kenny
691,Bill Hicks: Revelations,8.6,N/A,"2,868",57min,TV Special 14 September 1993,Chris Bould
692,180° South,7.6,N/A,"2,867",1h 25min,22 January 2011 (Japan),Chris Malloy
693,Vegucated,7.2,N/A,"2,864",1h 16min,10 September 2011 (USA),Marisa Miller Wolfson
694,Neil Young: Heart of Gold,7.7,85,"2,863",1h 43min,11 May 2006 (Australia),Jonathan Demme
695,Baby's Dinner,6.0,N/A,"2,861",1min,July 1896 (Uruguay),Louis Lumière
696,Hated: GG Allin & the Murder Junkies,7.3,N/A,"2,835",52min,1993 (USA),Todd Phillips
697,Deep Blue,7.4,71,"2,826",1h 23min,29 January 2004 (Germany),Andy Byatt
698,South of the Border,7.0,N/A,"2,823",1h 18min,3 June 2010 (Argentina),Oliver Stone
699,Into Eternity: A Film for the Future,7.4,68,"2,822",1h 15min,6 January 2010 (Denmark),Michael Madsen
700,Whitey: United States of America v. James J. Bulger,6.8,71,"2,818",1h 47min,27 June 2014 (USA),Joe Berlinger
701,Keith Richards: Under the Influence,7.1,62,"2,813",1h 21min,18 September 2015 (USA),Morgan Neville
702,Mansome,5.4,N/A,"2,813",1h 22min,24 November 2012 (Spain),Morgan Spurlock
703,U2 3D,8.3,83,"2,798",1h 25min,22 February 2008 (USA),Catherine Owens
704,4 Little Girls,7.8,88,"2,798",1h 42min,9 July 1997 (USA),Spike Lee
705,His Name Was Jason: 30 Years of Friday the 13th,7.1,N/A,"2,797",1h 30min,TV Movie 13 February 2009,Daniel Farrands
706,Cuba and the Cameraman,8.3,82,"2,791",1h 53min,24 November 2017 (USA),Jon Alpert
707,Super Size Me 2: Holy Chicken!,7.1,61,"2,791",1h 33min,13 September 2019 (USA),Morgan Spurlock
708,The Ivory Game,7.9,73,"2,787",1h 52min,4 November 2016 (USA),Kief Davidson
709,Bruce Lee: A Warrior's Journey,8.1,N/A,"2,787",1h 40min,Video 8 October 2001,John Little
710,Manufactured Landscapes,7.3,79,"2,778",1h 26min,13 June 2007 (Belgium),Jennifer Baichwal
711,Stop at Nothing: The Lance Armstrong Story,7.5,N/A,"2,766",1h 44min,27 May 2014 (Sweden),Alex Holmes
712,Led Zeppelin DVD,9.1,N/A,"2,763",5h 20min,Video 27 May 2003,Dick Carruthers
713,The Resurrection of Jake the Snake,7.9,N/A,"2,762",1h 33min,23 January 2015 (USA),Steve Yu
714,A Billion Lives,8.6,N/A,"2,760",1h 35min,16 June 2016 (Poland),Aaron Biebert
715,The Legend of Boggy Creek,5.2,N/A,"2,753",1h 27min,25 August 1972 (USA),Charles B. Pierce
716,Traffic Crossing Leeds Bridge,6.7,N/A,"2,748",N/A,October 1888 (UK),Louis Aimé Augustin Le Prince
717,Cocaine Cowboys 2,6.7,N/A,"2,745",1h 37min,29 July 2008 (USA),Billy Corben
718,The Final Year,6.4,67,"2,744",1h 29min,19 January 2018 (USA),Greg Barker
719,Sympathy for the Devil,6.3,N/A,"2,744",1h 40min,22 April 1969 (USA),Jean-Luc Godard
720,Talhotblond:,6.8,N/A,"2,742",1h 23min,1 February 2009 (USA),Barbara Schroeder
721,Nas: Time Is Illmatic,7.1,72,"2,740",1h 14min,3 October 2014 (USA),One9
722,Ryan,7.5,N/A,"2,735",14min,September 2004 (USA),Chris Landreth
723,Justin Bieber: Rise to Fame,1.0,N/A,"2,729",1h 5min,Video 1 March 2011,Maureen Goldthorpe
724,God Grew Tired of Us,7.9,72,"2,726",1h 29min,12 January 2007 (USA),Christopher Dillon Quinn
725,Aliens of the Deep,6.4,71,"2,722",1h 40min,25 August 2005 (Germany),James Cameron
726,The Shock Doctrine,7.6,N/A,"2,719",1h 19min,3 March 2010 (France),Mat Whitecross
727,Comic-Con Episode IV: A Fan's Hope,7.0,64,"2,710",1h 28min,23 November 2012 (Poland),Morgan Spurlock
728,Four Horsemen,7.8,N/A,"2,709",1h 37min,14 March 2012 (UK),Ross Ashcroft
729,Rowan Atkinson: Not Just a Pretty Face,8.4,N/A,"2,699",55min,TV Special 1 March 1992,Thomas Schlamme
730,Tales of the Grim Sleeper,7.0,85,"2,696",1h 50min,30 January 2015 (UK),Nick Broomfield
731,The Punk Singer,7.4,75,"2,694",1h 21min,23 May 2014 (Ireland),Sini Anderson
732,7 Plus Seven,8.0,N/A,"2,695",52min,TV Movie 15 December 1970,Michael Apted
733,Knuckle,6.8,65,"2,693",1h 37min,2011 (USA),Ian Palmer
734,Thrive: What on Earth Will It Take?,6.8,N/A,"2,692",2h 12min,11 November 2011 (USA),Steve Gagné
735,Scratch,7.9,77,"2,687",1h 32min,7 November 2001 (France),Doug Pray
736,The Captains,6.8,N/A,"2,686",1h 37min,22 July 2011 (USA),William Shatner
737,Zoo,5.6,63,"2,686",1h 15min,30 May 2008 (UK),Robinson Devor
738,Slacker Uprising,5.1,N/A,"2,686",1h 42min,23 September 2008 (USA),Michael Moore
739,Aileen Wuornos: The Selling of a Serial Killer,7.0,N/A,"2,682",1h 27min,4 February 1994 (USA),Nick Broomfield
740,Style Wars,8.1,N/A,"2,657",1h 9min,TV Movie 1983,Tony Silver
741,Downloaded,6.9,N/A,"2,656",1h 46min,1 July 2013 (USA),Alex Winter
742,Crips and Bloods: Made in America,6.9,N/A,"2,650",1h 33min,20 January 2008 (USA),Stacy Peralta
743,Heckler,6.1,N/A,"2,645",1h 20min,4 November 2007 (USA),Michael Addis
744,Tell No One,8.5,N/A,"2,644",2h 1min,11 May 2019 (Poland),Tomasz Sekielski
745,What the Bleep!?: Down the Rabbit Hole,6.5,N/A,"2,635",2h 36min,23 March 2006 (Australia),William Arntz
746,The Wrecking Crew!,7.6,67,"2,633",1h 41min,13 March 2015 (USA),Denny Tedesco
747,The Legend of Cocaine Island,6.3,N/A,"2,632",1h 23min,29 March 2019 (USA),Theo Love
748,Mustafa,6.7,N/A,"2,626",2h 10min,29 October 2008 (Turkey),Can Dündar
749,The Cutting Edge: The Magic of Movie Editing,7.8,N/A,"2,622",1h 38min,12 October 2004 (USA),Wendy Apple
750,Gadajace glowy,8.0,N/A,"2,622",16min,1980 (Poland),Krzysztof Kieslowski
751,Coldplay: A Head Full of Dreams,8.0,64,"2,616",1h 55min,16 November 2018 (USA),Mat Whitecross
752,Ronnie Coleman: The King,7.0,N/A,"2,615",1h 33min,22 June 2018 (USA),Vlad Yudin
753,Abacus: Small Enough to Jail,7.2,73,"2,615",1h 28min,7 July 2017 (UK),Steve James
754,"Easy Riders, Raging Bulls: How the Sex, Drugs and Rock 'N' Roll Generation Saved Hollywood",7.5,N/A,"2,615",1h 59min,9 March 2003 (USA),Kenneth Bowser
755,Bobby Robson: More Than a Manager,8.2,N/A,"2,614",1h 44min,1 June 2018 (UK),Gabriel Clarke
756,Filmworker,7.4,73,"2,614",1h 34min,11 May 2018 (Canada),Tony Zierra
757,Bitter Lake,8.2,N/A,"2,613",2h 16min,25 January 2015 (UK),Adam Curtis
758,Shut Up and Play the Hits,7.4,72,"2,610",1h 48min,18 July 2012 (USA),Will Lovelace
759,Klitschko,7.7,63,"2,608",1h 58min,21 October 2011 (USA),Sebastian Dehnhardt
760,Dane Cook: Vicious Circle,6.7,N/A,"2,605",1h 30min,TV Special 4 September 2006,Marty Callner
761,49 Up,8.2,84,"2,606",3h,TV Movie 15 September 2005,Michael Apted
762,Dancer,7.9,65,"2,596",1h 25min,10 March 2017 (UK),Steven Cantor
763,Step Into Liquid,7.5,72,"2,594",1h 28min,29 August 2003 (USA),Dana Brown
764,UnHung Hero,5.5,N/A,"2,592",1h 24min,6 December 2013 (USA),Brian Spitz
765,Full Tilt Boogie,6.6,N/A,"2,591",1h 37min,31 July 1998 (USA),Sarah Kelly
766,28 Up,8.2,N/A,"2,591",2h 16min,TV Movie February 1986,Michael Apted
767,Last Men in Aleppo,7.4,80,"2,580",1h 23min,27 June 2017 (USA),Feras Fayyad
768,Sherpa,7.7,93,"2,580",1h 36min,26 April 2016 (USA),Jennifer Peedom
769,Waking Sleeping Beauty,7.6,70,"2,567",1h 26min,6 October 2010 (France),Don Hahn
770,"Nightmares in Red, White and Blue: The Evolution of the American Horror Film",7.2,N/A,"2,564",1h 36min,6 August 2009 (USA),Andrew Monument
771,The Green Prince,7.2,67,"2,563",1h 41min,2014 (Israel),Nadav Schirman
772,Oklahoma City,7.4,74,"2,560",1h 42min,21 January 2017 (USA),Barak Goodman
773,Who Took Johnny,7.2,N/A,"2,554",1h 21min,2016 (USA),David Beilinson
774,Promises,8.4,80,"2,552",1h 46min,20 December 2001 (Netherlands),B.Z. Goldberg
775,Hellstorm,6.9,N/A,"2,540",1h 30min,1 May 2015 (USA),Kyle Hunt
776,Gleason,8.4,80,"2,524",1h 50min,29 July 2016 (USA),Clay Tweel
777,"Bo Burnham: Words, Words, Words",8.2,N/A,"2,521",1h 3min,TV Special 16 October 2010,Shannon Hartman
778,The X-Files: Re-Opened,7.9,N/A,"2,518",22min,TV Short 28 December 2015,Chris Carter
779,Comedy Central Roast of Pamela Anderson,7.1,N/A,"2,516",1h 30min,TV Special 14 August 2005,Joel Gallen
780,The China Hustle,7.2,67,"2,505",1h 22min,23 March 2018 (USA),Jed Rothstein
781,I Know That Voice,7.5,N/A,"2,501",1h 30min,6 November 2013 (USA),Lawrence Shapiro
782,The Comedians of Comedy,7.3,N/A,"2,501",1h 43min,12 March 2005 (USA),Michael Blieden
783,Devil's Playground,7.0,N/A,"2,501",1h 17min,11 January 2002 (USA),Lucy Walker
784,A Decade Under the Influence,7.6,67,"2,497",2h 18min,19 January 2003 (USA),Ted Demme
785,Chronicle of a Summer,7.6,N/A,"2,495",1h 25min,20 October 1961 (France),Edgar Morin
786,Land of Silence and Darkness,8.0,N/A,"2,490",1h 25min,22 October 2002 (Hong Kong),Werner Herzog
787,Saturday Night Live: The Best of Will Ferrell,7.9,N/A,"2,487",1h 12min,TV Special 28 September 2002,Beth McCarthy-Miller
788,Earth: One Amazing Day,7.8,N/A,"2,481",1h 35min,6 October 2017 (USA),Richard Dale
789,Unser täglich Brot,7.6,86,"2,480",1h 32min,21 April 2006 (Austria),Nikolaus Geyrhalter
790,Tokyo-Ga,7.4,N/A,"2,479",1h 32min,26 April 1985 (USA),Wim Wenders
791,Saving Capitalism,6.8,N/A,"2,478",1h 13min,21 November 2017 (USA),Jacob Kornbluth
792,Burn the Stage: The Movie,8.8,N/A,"2,465",1h 24min,19 January 2019 (USA),Jun-Soo Park
793,Mucho Mucho Amor: The Legend of Walter Mercado,7.3,76,"2,461",1h 36min,8 July 2020 (USA),Cristina Costantini
794,Mitt,6.9,64,"2,457",1h 34min,24 January 2014 (USA),Greg Whiteley
795,Stevie,7.8,72,"2,457",2h 20min,13 March 2003 (Netherlands),Steve James
796,Ziggy Stardust and the Spiders from Mars,7.6,N/A,"2,453",1h 30min,23 December 1983 (UK),D.A. Pennebaker
797,CKY2K,7.3,N/A,"2,450",1h 3min,Video 22 May 2000,Bam Margera
798,Lake of Fire,8.2,83,"2,447",2h 32min,3 October 2007 (USA),Tony Kaye
799,Denis Leary: No Cure for Cancer,7.4,N/A,"2,441",1h 2min,TV Special 20 February 1993,Ted Demme
800,Pavarotti,7.5,66,"2,439",1h 54min,30 December 2019 (USA),Ron Howard
801,Eddie Izzard: Glorious,8.4,N/A,"2,436",1h 39min,Video,Peter Richardson
802,The Mask You Live In,7.6,N/A,"2,432",1h 37min,25 January 2015 (USA),Jennifer Siebel Newsom
803,Unrest,7.7,80,"2,429",1h 38min,22 September 2017 (USA),Jennifer Brea
804,Salinger,6.7,N/A,"2,425",2h,5 September 2013 (Australia),Shane Salerno
805,America: Freedom to Fascism,8.0,N/A,"2,425",1h 35min,28 July 2006 (USA),Aaron Russo
806,Gascoigne,7.1,N/A,"2,417",1h 30min,8 June 2015 (UK),Jane Preston
807,The Revolution Will Not Be Televised,8.3,81,"2,415",1h 14min,12 September 2003 (Finland),Kim Bartley
808,The Stone Roses: Made of Stone,7.3,74,"2,413",1h 37min,5 June 2013 (UK),Shane Meadows
809,Queen Live at Wembley '86,9.1,N/A,"2,413",5h,TV Special October 1986,Gavin Taylor
810,21 Up,8.1,N/A,"2,414",1h 40min,TV Movie 9 May 1977,Michael Apted
811,One Life,8.0,68,"2,411",1h 25min,21 February 2013 (USA),Michael Gunton
812,Miesten vuoro,7.9,N/A,"2,406",1h 21min,26 March 2010 (Finland),Joonas Berghäll
813,The Seafarers,5.4,N/A,"2,403",29min,15 October 1953 (USA),Stanley Kubrick
814,Finders Keepers,6.8,80,"2,400",1h 22min,25 September 2015 (USA),Bryan Carberry
815,In the Basement,6.7,68,"2,390",1h 21min,26 September 2014 (Austria),Ulrich Seidl
816,We Feed the World,7.6,N/A,"2,389",1h 36min,30 September 2005 (Austria),Erwin Wagenhofer
817,Man vs Snake: The Long and Twisted Tale of Nibbler,7.0,N/A,"2,386",1h 32min,24 June 2016 (USA),Tim Kinzy
818,Sallie Gardner at a Gallop,7.4,N/A,"2,385",1min,15 June 1878 (USA),Eadweard Muybridge
819,Elvis: That's the Way It Is,8.1,N/A,"2,382",1h 37min,11 November 1970 (USA),Denis Sanders
820,42 Up,8.2,86,"2,380",2h 19min,TV Movie 21 July 1998,Michael Apted
821,Crazy Love,7.1,69,"2,376",1h 32min,1 June 2007 (USA),Dan Klores
822,America's Most Hated Family in Crisis,7.6,N/A,"2,375",1h,14 August 2011 (Australia),Emma Cooper
823,I Am Divine,7.6,70,"2,374",1h 30min,1 April 2014 (USA),Jeffrey Schwarz
824,Revolution OS,7.3,N/A,"2,372",1h 25min,15 February 2002 (USA),J.T.S. Moore
