,Title,User Rating_IMDB,Metacritic,Number of Votes_IMDB,Running Time,Release Date_IMDB,Director
131,The Edge of Democracy,7.1,81,"12,801",2h 1min,19 June 2019 (USA),Petra Costa
132,Kedi,7.7,78,"12,720",1h 19min,10 February 2017 (USA),Ceyda Torun
133,Super High Me,6.1,N/A,"12,687",1h 34min,20 April 2008 (USA),Michael Blieden
134,Stop Making Sense,8.6,89,"12,673",1h 28min,16 November 1984 (West Germany),Jonathan Demme
135,Honeyland,8.0,86,"12,477",1h 29min,26 July 2019 (USA),Tamara Kotevska
136,The Queen of Versailles,7.1,80,"12,451",1h 40min,16 August 2014 (Japan),Lauren Greenfield
137,Winter on Fire: Ukraine's Fight for Freedom,8.4,79,"12,395",1h 42min,9 October 2015 (USA),Evgeny Afineevsky
138,Cocaine Cowboys,7.8,N/A,"12,274",1h 58min,23 November 2007 (UK),Billy Corben
139,It Might Get Loud,7.6,70,"12,260",1h 38min,27 August 2009 (Germany),Davis Guggenheim
140,Paris Is Burning,8.2,82,"12,206",1h 11min,August 1991 (USA),Jennie Livingston
141,Twenty Feet from Stardom,7.4,83,"12,186",1h 31min,26 July 2013 (USA),Morgan Neville
142,Stories We Tell,7.5,91,"12,142",1h 48min,17 January 2013 (Greece),Sarah Polley
143,Dogtown and Z-Boys,7.7,76,"12,136",1h 31min,10 May 2002 (USA),Stacy Peralta
144,Tyson,7.5,83,"12,098",1h 30min,15 May 2009 (USA),James Toback
145,The Secret,5.6,N/A,"12,082",1h 30min,Video 13 September 2007,Drew Heriot
146,Who Killed the Electric Car?,7.6,70,"12,074",1h 32min,4 August 2006 (USA),Chris Paine
147,Sound City,7.8,76,"12,030",1h 47min,18 February 2013 (UK),Dave Grohl
148,Grey Gardens,7.6,82,"11,941",1h 35min,27 September 1975 (USA),Ellen Hovde
149,"What Happened, Miss Simone?",7.6,75,"11,913",1h 41min,24 June 2015 (USA),Liz Garbus
150,Häxan,7.7,N/A,"11,883",1h 31min,27 May 1929 (USA),Benjamin Christensen
151,My Scientology Movie,6.7,62,"11,831",1h 39min,10 March 2017 (USA),John Dower
152,The Wolfpack,7.0,75,"11,829",1h 30min,10 July 2015 (USA),Crystal Moselle
153,Spellbound,7.5,80,"11,812",1h 37min,10 October 2003 (UK),Jeffrey Blitz
154,Expelled: No Intelligence Allowed,3.7,N/A,"11,794",1h 30min,18 April 2008 (USA),Nathan Frankowski
155,Lo and Behold: Reveries of the Connected World,7.0,76,"11,745",1h 38min,19 August 2016 (USA),Werner Herzog
156,Metal: A Headbanger's Journey,8.1,73,"11,592",1h 36min,21 June 2006 (USA),Sam Dunn
157,Forks Over Knives,7.7,N/A,"11,545",1h 30min,16 October 2013 (France),Lee Fulkerson
158,The Look of Silence,8.3,92,"11,533",1h 43min,17 July 2015 (USA),Joshua Oppenheimer
159,Winged Migration,7.9,82,"11,435",1h 29min,29 August 2003 (USA),Jacques Perrin
160,Fed Up,7.7,71,"11,379",1h 32min,19 January 2014 (USA),Stephanie Soechtig
161,RBG,7.6,71,"11,280",1h 38min,26 July 2018 (Australia),Julie Cohen
162,Gaga: Five Foot Two,7.0,63,"11,275",1h 40min,22 September 2017 (USA),Chris Moukarbel
163,Lost in La Mancha,7.3,74,"11,122",1h 29min,2 August 2002 (UK),Keith Fulton
164,The Road to Guantanamo,7.4,64,"11,076",1h 35min,9 March 2006 (UK),Mat Whitecross
165,The Beatles: Eight Days a Week - The Touring Years,7.8,72,"11,054",1h 46min,17 September 2016 (USA),Ron Howard
166,Shine a Light,7.2,76,"10,990",2h 2min,4 April 2008 (Austria),Martin Scorsese
167,Soaked in Bleach,7.4,N/A,"10,948",1h 30min,11 June 2015 (USA),Benjamin Statler
168,The Bridge,7.2,N/A,"10,938",1h 34min,16 February 2007 (UK),Eric Steel
169,"20,000 Days on Earth",7.5,83,"10,786",1h 37min,18 November 2014 (USA),Iain Forsyth
170,Nanook of the North,7.6,N/A,"10,651",1h 18min,11 June 1922 (USA),Robert J. Flaherty
171,Waiting for 'Superman',7.5,81,"10,599",1h 51min,29 October 2010 (USA),Davis Guggenheim
172,Gimme Shelter,7.9,80,"10,594",1h 31min,13 December 1970 (UK),Albert Maysles
173,Microcosmos,7.9,N/A,"10,591",1h 20min,6 September 1996 (Switzerland),Claude Nuridsany
174,Knock Down the House,7.0,80,"10,588",1h 27min,1 May 2019 (USA),Rachel Lears
175,Faces Places,7.9,94,"10,436",1h 34min,28 June 2017 (France),JR
176,George Harrison: Living in the Material World,8.2,N/A,"10,426",3h 28min,4 October 2011 (UK),Martin Scorsese
177,The Arrival of a Train,7.4,N/A,"10,342",1min,25 January 1896 (France),Auguste Lumière
178,2016: Obama's America,5.0,N/A,"10,313",1h 27min,24 August 2012 (USA),Dinesh D'Souza
179,Mein liebster Feind - Klaus Kinski,7.9,70,"10,204",1h 35min,7 October 1999 (Germany),Werner Herzog
180,GasLand,7.7,N/A,"10,156",1h 47min,17 January 2011 (UK),Josh Fox
181,The Red Pill,8.2,N/A,"10,095",1h 48min,7 March 2017 (USA),Cassie Jaye
182,Virunga,8.2,95,"10,046",1h 40min,7 November 2014 (USA),Orlando von Einsiedel
183,Diego Maradona,7.7,78,"10,019",2h 10min,20 September 2019 (USA),Asif Kapadia
184,Oasis: Supersonic,7.9,71,"9,957",2h 2min,26 October 2016 (USA),Mat Whitecross
185,Stanley Kubrick: A Life in Pictures,8.0,N/A,"9,839",2h 22min,2 May 2001 (USA),Jan Harlan
186,Murderball,7.7,87,"9,790",1h 28min,5 August 2005 (USA),Henry Alex Rubin
187,Tell Me Who I Am,7.6,69,"9,787",1h 26min,18 October 2019 (USA),Ed Perkins
188,Hannah Gadsby: Nanette,8.3,N/A,"9,761",1h 9min,TV Special 19 June 2018,Jon Olb
189,Deliver Us from Evil,7.9,86,"9,753",1h 41min,22 February 2007 (Netherlands),Amy Berg
190,Bully,7.3,74,"9,747",1h 38min,27 April 2012 (Iceland),Lee Hirsch
191,West of Memphis,7.9,80,"9,719",2h 27min,22 November 2012 (Portugal),Amy Berg
192,Why We Fight,8.0,68,"9,710",1h 38min,January 2005 (USA),Eugene Jarecki
193,Weiner,7.6,84,"9,600",1h 36min,26 May 2016 (USA),Josh Kriegman
194,The American Meme,7.1,N/A,"9,586",1h 38min,7 December 2018 (Argentina),Bert Marcus
195,We Are Legion: The Story of the Hacktivists,7.3,66,"9,533",1h 33min,30 October 2012 (USA),Brian Knappenberger
196,Sans Soleil,8.0,N/A,"9,345",1h 40min,2 March 1983 (France),Chris Marker
197,Armadillo,7.5,72,"9,216",1h 45min,27 May 2010 (Denmark),Janus Metz
198,The Devil and Daniel Johnston,7.9,77,"9,213",1h 50min,5 May 2006 (UK),Jeff Feuerzeig
199,An Honest Liar,7.5,76,"9,137",1h 30min,2 November 2014 (UK),Tyler Measom
200,Paradise Lost 3: Purgatory,8.1,85,"9,124",2h 1min,13 October 2012 (Brazil),Joe Berlinger
201,That Sugar Film,7.5,N/A,"9,098",1h 30min,31 July 2015 (USA),Damon Gameau
202,When You're Strange,7.7,N/A,"9,049",1h 26min,12 May 2010 (USA),Tom DiCillo
203,Océans,7.8,75,"8,983",1h 24min,22 April 2010 (USA),Jacques Perrin
204,Dirty Wars,7.5,76,"8,957",1h 27min,18 October 2013 (Spain),Rick Rowley
205,Tupac: Resurrection,7.9,66,"8,928",1h 52min,14 November 2003 (USA),Lauren Lazin
206,Deep Web,7.0,N/A,"8,918",1h 30min,21 November 2015 (Norway),Alex Winter
207,What Now?,5.9,N/A,"8,812",1h 36min,14 October 2016 (USA),Leslie Small
208,Dave Chappelle's Block Party,7.2,84,"8,752",1h 43min,3 March 2006 (USA),Michel Gondry
209,Zero Days,7.8,77,"8,679",1h 56min,8 July 2016 (USA),Alex Gibney
210,Madonna: Truth or Dare,6.4,N/A,"8,624",2h,24 May 1991 (USA),Alek Keshishian
211,Pink Floyd: Live at Pompeii,8.7,N/A,"8,531",1h 32min,25 October 1972 (France),Adrian Maben
212,The Square,8.1,84,"8,508",1h 35min,10 January 2014 (UK),Jehane Noujaim
213,Requiem for the American Dream,8.1,N/A,"8,475",1h 13min,20 October 2016 (Denmark),Peter D. Hutchison
214,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2.4,N/A,"8,452",1h 14min,1 February 2008 (USA),Bruce Hendricks
215,Kevin Hart: Let Me Explain,6.8,N/A,"8,406",1h 15min,3 July 2013 (USA),Leslie Small
216,"Fat, Sick & Nearly Dead",7.5,N/A,"8,395",1h 37min,1 September 2014 (Netherlands),Joe Cross
217,Dont Look Back,8.0,84,"8,283",1h 36min,24 February 1968 (Sweden),D.A. Pennebaker
218,Shoah,8.6,99,"8,281",9h 26min,November 1985 (USA),Claude Lanzmann
219,Waste Land,7.9,78,"8,250",1h 39min,21 January 2011 (Brazil),Lucy Walker
220,Chasing Ice,7.8,75,"8,185",1h 15min,14 December 2012 (UK),Jeff Orlowski
221,Project Nim,7.4,83,"8,135",1h 33min,12 August 2011 (UK),James Marsh
222,No End in Sight,8.2,89,"8,105",1h 42min,22 January 2007 (USA),Charles Ferguson
223,Beyond the Mat,7.6,73,"8,103",1h 42min,17 March 2000 (USA),Barry W. Blaustein
224,Paradise Lost 2: Revelations,7.6,N/A,"8,034",2h 10min,TV Movie 12 March 2001,Joe Berlinger
225,De fem benspænd,7.5,79,"8,023",1h 30min,21 November 2003 (Denmark),Jørgen Leth
226,Behind the Curve,6.5,N/A,"7,895",1h 36min,15 November 2018 (USA),Daniel J. Clark
227,Sigur Rós: Heima,8.5,N/A,"7,819",1h 37min,5 October 2007 (Iceland),Dean DeBlois
228,Looking for Richard,7.3,N/A,"7,811",1h 51min,11 October 1996 (USA),Al Pacino
229,Ônibus 174,7.8,83,"7,802",2h 2min,30 August 2003 (Netherlands),José Padilha
230,The Class of '92,8.0,N/A,"7,782",1h 39min,29 November 2013 (UK),Benjamin Turner
231,For Sama,8.5,89,"7,763",1h 40min,26 July 2019 (USA),Waad Al-Kateab
232,The Inventor: Out for Blood in Silicon Valley,7.1,66,"7,724",1h 59min,18 March 2019 (USA),Alex Gibney
233,To Be and to Have,7.8,87,"7,717",1h 44min,28 August 2002 (France),Nicolas Philibert
234,Tim's Vermeer,7.8,76,"7,681",1h 20min,17 January 2014 (UK),Teller
235,Lemmy,7.8,64,"7,678",1h 56min,7 December 2010 (UK),Greg Olliver
236,Powaqqatsi,7.3,N/A,"7,678",1h 39min,8 September 1988 (Netherlands),Godfrey Reggio
237,The Song Remains the Same,7.7,N/A,"7,649",2h 17min,20 October 1976 (USA),Peter Clifton
238,The Big One,7.0,N/A,"7,647",1h 31min,10 April 1998 (USA),Michael Moore
239,Best Worst Movie,7.3,61,"7,643",1h 33min,14 March 2009 (USA),Michael Paul Stephenson
240,Happy People: A Year in the Taiga,7.7,74,"7,624",1h 30min,15 November 2012 (Germany),Werner Herzog
241,The Union: The Business Behind Getting High,8.2,N/A,"7,603",1h 44min,8 June 2007 (Canada),Brett Harvey
242,Cropsey,6.3,73,"7,574",1h 24min,25 April 2009 (USA),Barbara Brancaccio
243,The Art of Flight,8.2,N/A,"7,533",1h 20min,8 September 2011 (USA),Curt Morgan
244,Pearl Jam Twenty,8.3,N/A,"7,533",1h 49min,21 October 2011 (USA),Cameron Crowe
245,Generation Iron,7.1,61,"7,531",1h 46min,20 September 2013 (USA),Vlad Yudin
246,An Inconvenient Sequel: Truth to Power,6.4,68,"7,519",1h 38min,4 August 2017 (USA),Bonni Cohen
247,Sachin - A Billion Dreams,8.6,N/A,"7,509",2h 18min,26 May 2017 (USA),James Erskine
248,After Porn Ends,5.7,N/A,"7,489",1h 34min,21 May 2012 (USA),Bryce Wagoner
249,Helvetica,7.2,N/A,"7,473",1h 20min,12 September 2007 (USA),Gary Hustwit
250,Gonzo,7.7,73,"7,460",2h,18 July 2008 (USA),Alex Gibney
251,Mommy Dead and Dearest,7.4,N/A,"7,444",1h 22min,11 March 2017 (USA),Erin Lee Carr
252,Racing Extinction,8.3,81,"7,410",1h 30min,18 September 2015 (USA),Louie Psihoyos
253,Active Measures,7.9,68,"7,388",1h 49min,31 August 2018 (USA),Jack Bryan
254,Minding the Gap,8.1,90,"7,388",1h 33min,17 August 2018 (USA),Bing Liu
255,Human,8.7,N/A,"7,379",3h 10min,12 September 2015 (France),Yann Arthus-Bertrand
256,We Steal Secrets,6.9,76,"7,376",2h 10min,11 July 2013 (Germany),Alex Gibney
